system_ts_ms, sensor_ts_ns, accX, accY, accZ
1680017038287,1197026640106325,-1.2730501,7.8850503,4.998
1680017038288,1197026642608710,-1.251,7.8799505,4.96005
1680017038290,1197026645110864,-1.266,7.8180003,4.9170003
1680017038292,1197026647613094,-1.3759501,7.9069505,5.02395
1680017038295,1197026650115253,-1.3980001,7.8490505,4.8829503
1680017038297,1197026652617715,-1.3660501,7.8210006,4.998
1680017038312,1197026655120100,-1.55295,7.833,4.9410005
1680017038313,1197026657622253,-1.572,7.6650004,5.0340004
1680017038313,1197026660124407,-1.5439501,7.72695,5.142
1680017038313,1197026662626638,-1.5480001,7.7250004,4.9500003
1680017038313,1197026665129023,-1.575,7.8040504,4.905
1680017038313,1197026667631176,-1.6200001,7.8370504,4.881
1680017038315,1197026670133407,-1.5289501,7.8570004,4.965
1680017038318,1197026672635787,-0.777,8.60595,5.3689504
1680017038323,1197026675138018,-0.98295003,8.424001,5.214
1680017038325,1197026677639094,-1.66305,7.8469505,4.809
1680017038325,1197026680140161,-1.6320001,7.938,4.9570503
1680017038328,1197026682644700,-1.6129501,7.8570004,4.72695
1680017038330,1197026685147162,-1.6540501,7.8640504,4.8780003
1680017038334,1197026687649315,-1.8550501,7.9519506,4.63395
1680017038335,1197026690151546,-1.644,8.017051,4.986
1680017038338,1197026692653719,-1.5120001,7.9810505,5.0290504
1680017038340,1197026695156104,-1.55805,7.85895,4.85895
1680017038342,1197026697658257,-1.48905,7.8949504,4.7850003
1680017038344,1197026700160719,-1.266,7.93095,5.0340004
1680017038347,1197026702662950,-1.4980501,7.8229504,4.8619504
1680017038351,1197026705165104,-1.335,7.7890506,4.83795
1680017038352,1197026707667257,-1.58895,7.85895,4.737
1680017038354,1197026710169642,-1.5120001,7.87095,4.74405
1680017038359,1197026712671869,-1.5169501,7.9279504,4.524
1680017038360,1197026715174254,-1.55805,7.96395,4.5409503
1680017038362,1197026717676484,-1.386,8.139,4.533
1680017038364,1197026720178638,-1.40505,8.106,4.6870503
1680017038368,1197026722681023,-1.3980001,8.199,4.8640504
1680017038369,1197026725183177,-1.4140501,8.088,4.806
1680017038372,1197026727685407,-1.4980501,8.24505,4.76595
1680017038375,1197026730187792,-1.5679501,8.30895,4.9879503
1680017038378,1197026732690023,-1.5600001,8.25405,4.87605
1680017038380,1197026735192181,-1.5600001,8.331,5.1589503
1680017038385,1197026737694565,-1.812,8.24895,5.03595
1680017038385,1197026740196796,-1.70595,8.11995,5.12295
1680017038388,1197026742698950,-1.7299501,7.9830003,5.01
1680017038390,1197026745201080,-1.8259501,7.9159503,5.0340004
1680017038392,1197026747703541,-1.74195,7.8760505,5.0170503
1680017038396,1197026750205926,-1.71405,8.038051,4.9669504
1680017038401,1197026752708080,-1.6800001,7.8229504,4.9120502
1680017038402,1197026755210234,-1.4070001,7.9429502,4.9669504
1680017038402,1197026757712695,-1.3260001,7.9950004,4.965
1680017038404,1197026760214849,-1.4959501,7.9500003,4.90005
1680017038407,1197026762717080,-1.40505,7.9909506,4.893
1680017038409,1197026765219464,-1.36905,7.9810505,4.9450502
1680017038412,1197026767721632,-1.3260001,7.998,4.998
1680017038418,1197026770223786,-1.39995,8.05305,4.833
1680017038419,1197026772726248,-1.5769501,7.9069505,4.9120502
1680017038420,1197026775228478,-1.1719501,8.23695,4.7389503
1680017038422,1197026777730863,-1.2229501,8.500951,4.62195
1680017038425,1197026780232997,-0.93795,8.415,4.656
1680017038427,1197026782735151,-1.1410501,8.43105,4.8109503
1680017038430,1197026785237382,-1.00995,8.464951,4.72695
1680017038435,1197026787739766,-1.1580001,8.280001,4.9500003
1680017038436,1197026790241997,-1.182,8.280001,4.9020004
1680017038438,1197026792744382,-1.14405,8.27295,4.87095
1680017038440,1197026795246535,-1.1050501,8.323951,4.854
1680017038442,1197026797748689,-1.302,8.26095,4.9120502
1680017038444,1197026800250935,-1.1770501,8.332951,4.8850503
1680017038447,1197026802753397,-1.09605,8.268001,4.7970004
1680017038455,1197026805255550,-1.2970501,8.13405,4.9170003
1680017038455,1197026807757935,-1.2390001,8.3880005,4.986
1680017038456,1197026810260074,-1.3930501,8.179951,4.76805
1680017038458,1197026812762305,-1.3590001,8.22105,4.9500003
1680017038460,1197026815264459,-1.3110001,8.292001,4.9879503
1680017038462,1197026817766920,-1.39995,8.27295,5.058
1680017038468,1197026820269079,-1.40505,8.280001,4.87605
1680017038469,1197026822771464,-1.3420501,8.247001,4.97895
1680017038471,1197026825273694,-1.39995,8.247001,4.9570503
1680017038473,1197026827775848,-1.43805,8.22795,4.9290004
1680017038475,1197026830278233,-1.4140501,8.095051,4.7470503
1680017038477,1197026832780392,-1.2589501,8.188951,4.84695
1680017038479,1197026835282622,-1.3740001,8.295,5.03205
1680017038485,1197026837785007,-1.16295,8.356951,5.05305
1680017038486,1197026840287238,-1.2589501,8.314051,5.18505
1680017038488,1197026842789368,-1.0890001,8.23005,5.1870003
1680017038491,1197026845291522,-1.2040501,8.283,5.0719504
1680017038492,1197026847793906,-1.1050501,8.36205,5.0790005
1680017038497,1197026850296368,-1.098,8.304001,5.091
1680017038498,1197026852798522,-1.1359501,8.367001,4.9840503
1680017038505,1197026855300752,-1.0330501,8.44095,5.103
1680017038507,1197026857802906,-1.077,8.424001,5.03205
1680017038508,1197026860305291,-1.146,8.302051,4.8949504
1680017038509,1197026862807503,-1.07895,8.23995,4.9690504
1680017038511,1197026865309887,-1.0669501,8.319,5.01195
1680017038512,1197026867812041,-0.98595005,8.379001,5.0890503
1680017038518,1197026870314272,-1.02405,8.491051,5.0719504
1680017038518,1197026872816656,-1.05495,8.412001,5.08395
1680017038520,1197026875318796,-1.0690501,8.458051,4.9960504
1680017038522,1197026877821027,-1.065,8.48595,5.1589503
1680017038526,1197026880323412,-0.91605,8.688001,4.9960504
1680017038527,1197026882825566,-0.94200003,8.55795,5.142
1680017038529,1197026885327796,-0.94005007,8.644951,5.0080504
1680017038535,1197026887830190,-0.97800004,8.613001,5.0149503
1680017038536,1197026890332344,-0.98595005,8.58195,5.10795
1680017038538,1197026892834575,-1.074,8.553,5.07
1680017038540,1197026895336728,-0.98100007,8.53905,5.0820003
1680017038542,1197026897839200,-1.062,8.565001,5.1109505
1680017038547,1197026900341585,-0.91095006,8.58195,5.1199503
1680017038552,1197026902843738,-0.99300003,8.509951,5.1990004
1680017038552,1197026905345892,-1.09305,8.3880005,4.9879503
1680017038553,1197026907848099,-1.0500001,8.403001,5.1199503
1680017038555,1197026910350484,-0.777,8.44095,5.13
1680017038558,1197026912852714,-0.89205,8.39295,4.9759502
1680017038560,1197026915354868,-1.00995,8.326051,4.926
1680017038562,1197026917857253,-0.82995003,8.403001,5.03205
1680017038568,1197026920359503,-0.82695,8.451,5.0170503
1680017038569,1197026922861657,-0.693,8.44305,4.9549503
1680017038570,1197026925364041,-0.61200005,8.470051,4.97895
1680017038572,1197026927866272,-0.67395,8.509951,4.9690504
1680017038576,1197026930368623,-0.46305,8.496,4.986
1680017038579,1197026932870776,-0.63105005,8.52705,5.0560503
1680017038580,1197026935373007,-0.56895,8.55795,4.8570004
1680017038585,1197026937875161,-0.59505004,8.656051,4.9450502
1680017038587,1197026940377542,-0.63600004,8.509951,4.833
1680017038589,1197026942879772,-0.68100005,8.56305,4.8900003
1680017038591,1197026945382157,-0.49005002,8.616,4.8850503
1680017038593,1197026947884388,-0.54195005,8.64,4.83795
1680017038595,1197026950386542,-0.45405003,8.544001,4.8829503
1680017038598,1197026952888710,-0.51000005,8.608951,4.7800503
1680017038602,1197026955391094,-0.48705003,8.580001,4.8690004
1680017038603,1197026957893556,-0.60195005,8.54895,4.881
1680017038606,1197026960395710,-0.51900005,8.676001,4.87095
1680017038608,1197026962897940,-0.45405003,8.629951,4.9410005
1680017038610,1197026965400094,-0.45600003,8.7640505,4.9669504
1680017038612,1197026967902479,-0.63600004,8.58495,4.9360504
1680017038620,1197026970404633,-0.70995003,8.53695,4.938
1680017038622,1197026972906849,-0.62895006,8.629951,4.8570004
1680017038624,1197026975409234,-0.73905003,8.6640005,4.87395
1680017038625,1197026977911465,-0.66495,8.56305,4.9410005
1680017038626,1197026980413619,-0.83505005,8.5990505,4.9759502
1680017038628,1197026982916003,-0.81795,8.57295,5.0080504
1680017038630,1197026985418238,-0.777,8.57505,4.94805
1680017038635,1197026987920392,-0.92295,8.51505,4.92105
1680017038636,1197026990422777,-0.84705,8.497951,4.8780003
1680017038637,1197026992925007,-0.89205,8.472,4.8640504
1680017038640,1197026995427378,-0.80100006,8.61795,5.00295
1680017038642,1197026997929532,-1.00995,8.57505,5.0170503
1680017038646,1197027000431763,-0.93495005,8.57295,4.986
1680017038647,1197027002933916,-1.00695,8.48595,4.96005
1680017038652,1197027005436378,-0.88005006,8.46195,4.9020004
1680017038653,1197027007938537,-1.02405,8.55105,4.9429502
1680017038657,1197027010440921,-1.077,8.509951,4.842
1680017038660,1197027012943075,-1.09305,8.458051,4.9500003
1680017038662,1197027015445320,-1.098,8.479051,4.806
1680017038663,1197027017947474,-1.05495,8.497951,4.8499503
1680017038668,1197027020449935,-1.19895,8.39805,4.9290004
1680017038668,1197027022952320,-1.0189501,8.415,4.8640504
1680017038670,1197027025454474,-1.09605,8.43105,4.8019505
1680017038672,1197027027956628,-1.1580001,8.451,4.68195
1680017038676,1197027030458859,-1.1029501,8.47395,4.893
1680017038678,1197027032961243,-1.0380001,8.400001,4.7250004
1680017038680,1197027035463474,-1.1010001,8.415,4.82805
1680017038682,1197027037965873,-1.14405,8.38305,4.82805
1680017038686,1197027040468026,-1.065,8.508,4.82595
1680017038688,1197027042970257,-1.13205,8.500951,4.75605
1680017038690,1197027045472411,-1.1560501,8.415,4.84005
1680017038693,1197027047974825,-1.077,8.41905,4.9410005
1680017038699,1197027050477055,-1.113,8.50605,4.81395
1680017038700,1197027052978248,-1.09605,8.3880005,4.7779503
1680017038700,1197027055479441,-1.0500001,8.451,4.986
1680017038702,1197027057983840,-1.026,8.40705,4.7629504
1680017038705,1197027060486224,-1.011,8.415,4.7779503
1680017038708,1197027062988378,-1.04295,8.488951,4.92105
1680017038710,1197027065490532,-1.041,8.3550005,4.833
1680017038713,1197027067992999,-1.09605,8.22795,4.7899504
1680017038716,1197027070495229,-1.16805,8.11995,4.701
1680017038718,1197027072997383,-1.14795,8.211,4.8520503
