system_ts_ms, sensor_ts_ns, magXr, magYr, magZr, magDXr, magDYr, magDZr
1680014809669,1194798016988711,91.481255,-82.012505,-259.3125,70.61,-54.84,-244.62
1680014809674,1194798026996004,91.36875,-81.95625,-259.25626,70.61,-54.84,-244.62
1680014809703,1194798036998609,91.3125,-81.9,-259.2,70.61,-54.84,-244.62
1680014809705,1194798046996485,91.6125,-81.95625,-259.25626,70.61,-54.84,-244.62
1680014809707,1194798056998547,91.912506,-82.012505,-259.3125,70.61,-54.84,-244.62
1680014809716,1194798066977533,91.912506,-81.9,-259.25626,70.61,-54.84,-244.62
1680014809724,1194798076964210,91.912506,-81.7125,-259.2,70.61,-54.84,-244.62
1680014809732,1194798086965979,92.08125,-81.356255,-259.14377,70.61,-54.84,-244.62
1680014809742,1194798096965753,92.2125,-81.0,-259.0125,70.61,-54.84,-244.62
1680014809757,1194798106947247,92.381256,-81.0,-258.825,70.61,-54.84,-244.62
1680014809764,1194798116945228,92.512505,-81.0,-258.6,70.61,-54.84,-244.62
1680014809775,1194798126931920,92.45625,-81.3,-258.11252,70.61,-54.84,-244.62
1680014809782,1194798136922083,92.381256,-81.600006,-257.7,70.61,-54.84,-244.62
1680014809792,1194798146949777,92.26875,-81.412506,-258.05627,70.61,-54.84,-244.62
1680014809807,1194798156923315,92.2125,-81.3,-258.4125,70.61,-54.84,-244.62
1680014809812,1194798166932396,91.912506,-81.356255,-258.6,70.61,-54.84,-244.62
1680014809824,1194798176934554,91.6125,-81.412506,-258.71252,70.61,-54.84,-244.62
1680014809832,1194798186931809,91.668755,-81.356255,-258.71252,70.61,-54.84,-244.62
1680014809847,1194798196958655,91.78125,-81.3,-258.71252,70.61,-54.84,-244.62
1680014809856,1194798206960890,91.856255,-81.05625,-259.14377,70.61,-54.84,-244.62
1680014809864,1194798216928206,91.912506,-80.8125,-259.5,70.61,-54.84,-244.62
1680014809874,1194798226897388,92.08125,-81.05625,-259.3125,70.61,-54.84,-244.62
1680014809883,1194798236859138,92.2125,-81.3,-259.2,70.61,-54.84,-244.62
1680014809892,1194798246824003,92.381256,-81.05625,-259.25626,70.61,-54.84,-244.62
1680014809901,1194798256861849,92.512505,-80.8125,-259.3125,70.61,-54.84,-244.62
1680014809913,1194798266858829,92.512505,-80.64375,-259.3125,70.61,-54.84,-244.62
1680014809925,1194798276861516,92.512505,-80.4,-259.3125,70.61,-54.84,-244.62
1680014809932,1194798286870578,92.381256,-80.45625,-259.44376,70.61,-54.84,-244.62
1680014809942,1194798296849366,92.2125,-80.512505,-259.5,70.61,-54.84,-244.62
1680014809955,1194798306857236,92.381256,-80.2125,-259.61252,70.61,-54.84,-244.62
1680014809966,1194798316878610,92.512505,-79.912506,-259.78125,70.61,-54.84,-244.62
1680014809972,1194798326884687,92.45625,-80.2125,-259.61252,70.61,-54.84,-244.62
1680014809982,1194798336882807,92.381256,-80.512505,-259.5,70.61,-54.84,-244.62
1680014809992,1194798346893542,92.45625,-80.756256,-259.44376,70.61,-54.84,-244.62
1680014810003,1194798356896533,92.512505,-81.0,-259.3125,70.61,-54.84,-244.62
1680014810013,1194798366876225,92.568756,-80.925,-259.2,70.61,-54.84,-244.62
1680014810022,1194798376889475,92.68125,-80.8125,-259.0125,70.61,-54.84,-244.62
1680014810032,1194798386897234,92.68125,-81.24375,-258.71252,70.61,-54.84,-244.62
1680014810044,1194798396871589,92.68125,-81.600006,-258.4125,70.61,-54.84,-244.62
1680014810053,1194798406892810,92.756256,-81.1125,-258.54376,70.61,-54.84,-244.62
1680014810063,1194798416875184,92.8125,-80.68125,-258.6,70.61,-54.84,-244.62
1680014810072,1194798426857102,92.68125,-80.68125,-258.65625,70.61,-54.84,-244.62
1680014810083,1194798436875823,92.512505,-80.68125,-258.71252,70.61,-54.84,-244.62
1680014810093,1194798446856174,92.756256,-81.0,-258.71252,70.61,-54.84,-244.62
1680014810103,1194798456878111,92.981255,-81.3,-258.71252,70.61,-54.84,-244.62
1680014810113,1194798466888731,92.981255,-81.412506,-258.90002,70.61,-54.84,-244.62
1680014810123,1194798476873149,92.981255,-81.600006,-259.0125,70.61,-54.84,-244.62
1680014810133,1194798486903691,93.1125,-81.9,-258.825,70.61,-54.84,-244.62
1680014810142,1194798496900229,93.28125,-82.18125,-258.6,70.61,-54.84,-244.62
1680014810152,1194798506901363,93.1125,-82.3125,-258.71252,70.61,-54.84,-244.62
1680014810165,1194798516919974,92.981255,-82.5,-258.90002,70.61,-54.84,-244.62
1680014810173,1194798526914512,92.756256,-82.5,-258.825,70.61,-54.84,-244.62
1680014810182,1194798536913900,92.512505,-82.5,-258.71252,70.61,-54.84,-244.62
1680014810192,1194798546921121,91.96875,-82.256256,-258.90002,70.61,-54.84,-244.62
1680014810202,1194798556932352,91.481255,-82.012505,-259.0125,70.61,-54.84,-244.62
1680014810213,1194798566905668,91.3125,-81.95625,-259.3125,70.61,-54.84,-244.62
1680014810225,1194798576880898,91.18125,-81.9,-259.61252,70.61,-54.84,-244.62
1680014810233,1194798586855446,91.3125,-81.84375,-259.61252,70.61,-54.84,-244.62
1680014810244,1194798596838975,91.481255,-81.7125,-259.61252,70.61,-54.84,-244.62
1680014810253,1194798606847042,91.3125,-81.600006,-259.85626,70.61,-54.84,-244.62
1680014810263,1194798616853936,91.18125,-81.412506,-260.1,70.61,-54.84,-244.62
1680014810273,1194798626858084,91.3125,-81.1125,-260.21252,70.61,-54.84,-244.62
1680014810288,1194798636856891,91.481255,-80.8125,-260.40002,70.61,-54.84,-244.62
1680014810292,1194798646870584,91.3125,-81.05625,-260.45627,70.61,-54.84,-244.62
1680014810303,1194798656880348,91.18125,-81.3,-260.5125,70.61,-54.84,-244.62
1680014810314,1194798666895689,90.881256,-81.05625,-260.64377,70.61,-54.84,-244.62
1680014810323,1194798676912179,90.58125,-80.8125,-260.7,70.61,-54.84,-244.62
1680014810332,1194798686918198,90.356255,-81.0,-260.45627,70.61,-54.84,-244.62
1680014810344,1194798696927750,90.1125,-81.1125,-260.21252,70.61,-54.84,-244.62
1680014810352,1194798706937548,90.1125,-81.412506,-260.04376,70.61,-54.84,-244.62
1680014810364,1194798716932173,90.1125,-81.65625,-260.21252,70.61,-54.84,-244.62
1680014810373,1194798726934321,90.037506,-81.543755,-260.5125,70.61,-54.84,-244.62
1680014810382,1194798736930191,90.037506,-81.3,-260.7,70.61,-54.84,-244.62
1680014810393,1194798746932402,90.1125,-81.356255,-260.8125,70.61,-54.84,-244.62
1680014810404,1194798756934998,90.168755,-81.65625,-261.05627,70.61,-54.84,-244.62
1680014810412,1194798766938142,90.39375,-81.7125,-261.54376,70.61,-54.84,-244.62
1680014810424,1194798776947940,90.39375,-81.600006,-261.95627,70.61,-54.84,-244.62
1680014810433,1194798786942608,90.28125,-81.412506,-262.3125,70.61,-54.84,-244.62
1680014810443,1194798796945400,90.168755,-81.543755,-262.3125,70.61,-54.84,-244.62
1680014810452,1194798806946323,90.1125,-81.600006,-262.3125,70.61,-54.84,-244.62
1680014810464,1194798816947242,90.28125,-81.84375,-262.61252,70.61,-54.84,-244.62
1680014810472,1194798826949544,90.39375,-82.012505,-262.9125,70.61,-54.84,-244.62
1680014810484,1194798836951020,90.168755,-81.7125,-262.9125,70.61,-54.84,-244.62
1680014810491,1194798846945915,89.981255,-81.412506,-262.9125,70.61,-54.84,-244.62
1680014810502,1194798856940443,89.981255,-81.543755,-262.85626,70.61,-54.84,-244.62
1680014810513,1194798866942769,89.981255,-81.600006,-262.80002,70.61,-54.84,-244.62
1680014810522,1194798876952384,89.86875,-81.543755,-262.9125,70.61,-54.84,-244.62
1680014810532,1194798886955311,89.793755,-81.412506,-263.1,70.61,-54.84,-244.62
1680014810546,1194798896966782,89.568756,-81.356255,-263.04376,70.61,-54.84,-244.62
1680014810553,1194798906969522,89.381256,-81.3,-262.9125,70.61,-54.84,-244.62
1680014810564,1194798916957200,89.381256,-81.412506,-263.15625,70.61,-54.84,-244.62
1680014810571,1194798926959363,89.381256,-81.600006,-263.38126,70.61,-54.84,-244.62
1680014810582,1194798936952665,89.381256,-81.7125,-263.45627,70.61,-54.84,-244.62
1680014810593,1194798946954790,89.381256,-81.9,-263.5125,70.61,-54.84,-244.62
1680014810602,1194798956955723,89.26875,-81.95625,-263.38126,70.61,-54.84,-244.62
1680014810611,1194798966957857,89.2125,-82.012505,-263.21252,70.61,-54.84,-244.62
1680014810621,1194798976952303,89.08125,-82.012505,-263.38126,70.61,-54.84,-244.62
1680014810632,1194798986946783,88.89375,-82.012505,-263.5125,70.61,-54.84,-244.62
1680014810642,1194798996950119,88.89375,-81.95625,-263.21252,70.61,-54.84,-244.62
1680014810652,1194799006951066,88.89375,-81.9,-262.9125,70.61,-54.84,-244.62
