system_ts_ms, sensor_ts_ns, accXr, accYr, accZr, accDXr, accDYr, accDZr
1680014365659,1194354008764487,2.26305,9.5119505,2.2099502,0.0,0.0,0.0
1680014365659,1194354011266948,2.11995,9.519,2.2009501,0.0,0.0,0.0
1680014365659,1194354013769102,2.127,9.574051,1.91295,0.0,0.0,0.0
1680014365672,1194354016271338,2.15805,9.564,1.9399501,0.0,0.0,0.0
1680014365673,1194354018773492,2.0719502,9.53505,1.9369501,0.0,0.0,0.0
1680014365673,1194354021275876,2.043,9.624001,1.8889501,0.0,0.0,0.0
1680014365673,1194354023778030,2.091,9.53505,1.899,0.0,0.0,0.0
1680014365673,1194354026280270,2.0650501,9.604951,1.9159501,0.0,0.0,0.0
1680014365677,1194354028782655,2.0329502,9.571051,1.9080001,0.0,0.0,0.0
1680014365677,1194354031284809,1.9549501,9.6,1.9039501,0.0,0.0,0.0
1680014365678,1194354033786962,2.046,9.556951,1.8409501,0.0,0.0,0.0
1680014365682,1194354036289189,2.046,9.53295,1.84395,0.0,0.0,0.0
1680014365684,1194354038791574,2.11305,9.562051,1.7890501,0.0,0.0,0.0
1680014365686,1194354041293805,2.15295,9.459001,1.7770501,0.0,0.0,0.0
1680014365688,1194354043795958,2.2039502,9.562051,1.7410501,0.0,0.0,0.0
1680014365693,1194354046298343,2.12205,9.61905,1.8079501,0.0,0.0,0.0
1680014365694,1194354048800506,2.1319501,9.495001,1.88505,0.0,0.0,0.0
1680014365696,1194354051302660,2.08395,9.471001,1.8889501,0.0,0.0,0.0
1680014365698,1194354053804891,2.0959501,9.403951,1.8649501,0.0,0.0,0.0
1680014365701,1194354056307275,2.115,9.492001,1.9009501,0.0,0.0,0.0
1680014365703,1194354058809492,2.11695,9.4470005,1.9879501,0.0,0.0,0.0
1680014365710,1194354061311646,2.06205,9.34395,1.87995,0.0,0.0,0.0
1680014365710,1194354063814030,2.1079502,9.250051,1.8390001,0.0,0.0,0.0
1680014365712,1194354066316179,2.21595,9.282001,1.8919501,0.0,0.0,0.0
1680014365714,1194354068818410,2.16,9.295951,2.05695,0.0,0.0,0.0
1680014365716,1194354071320564,2.196,9.397051,1.9399501,0.0,0.0,0.0
1680014365718,1194354073822949,2.328,9.33405,1.9300501,0.0,0.0,0.0
1680014365723,1194354076325174,2.0959501,9.34605,1.91805,0.0,0.0,0.0
1680014365729,1194354078827328,2.223,9.418051,1.8250501,0.0,0.0,0.0
1680014365729,1194354081329713,2.1460502,9.403951,1.88505,0.0,0.0,0.0
1680014365730,1194354083831867,2.163,9.339001,1.88505,0.0,0.0,0.0
1680014365732,1194354086334097,2.05995,9.30795,2.05005,0.0,0.0,0.0
1680014365734,1194354088836468,2.1679502,9.298051,1.8580501,0.0,0.0,0.0
1680014365736,1194354091338622,2.1649501,9.35595,2.046,0.0,0.0,0.0
1680014365738,1194354093840853,2.1340501,9.399,2.04495,0.0,0.0,0.0
1680014365745,1194354096343006,2.18205,9.379951,2.1790502,0.0,0.0,0.0
1680014365746,1194354098845145,2.18205,9.456,1.9470001,0.0,0.0,0.0
1680014365747,1194354101347530,2.196,9.4129505,2.14995,0.0,0.0,0.0
1680014365749,1194354103849992,2.25405,9.411,2.09295,0.0,0.0,0.0
1680014365751,1194354106352145,2.22,9.49005,1.9969501,0.0,0.0,0.0
1680014365753,1194354108854299,2.3160002,9.373051,2.08995,0.0,0.0,0.0
1680014365755,1194354111356520,2.28705,9.42,2.09505,0.0,0.0,0.0
1680014365765,1194354113858674,2.29905,9.427951,1.9710001,0.0,0.0,0.0
1680014365765,1194354116361058,2.33295,9.37695,2.0710502,0.0,0.0,0.0
1680014365766,1194354118863212,2.35695,9.436951,1.9560001,0.0,0.0,0.0
1680014365766,1194354121365425,2.35695,9.46605,1.87995,0.0,0.0,0.0
1680014365768,1194354123867810,2.26605,9.435,1.9759501,0.0,0.0,0.0
1680014365772,1194354126370040,2.25195,9.492001,1.9540501,0.0,0.0,0.0
1680014365780,1194354128872194,2.25195,9.519,2.01405,0.0,0.0,0.0
1680014365781,1194354131374348,2.2009501,9.516001,1.9900501,0.0,0.0,0.0
1680014365781,1194354133876738,2.22,9.5140505,1.9920001,0.0,0.0,0.0
1680014365784,1194354136378969,2.1679502,9.47595,2.02605,0.0,0.0,0.0
1680014365785,1194354138881122,2.2060502,9.5119505,1.96395,0.0,0.0,0.0
1680014365787,1194354141383497,2.12505,9.45195,1.9060501,0.0,0.0,0.0
1680014365790,1194354143885651,2.11695,9.436951,1.9759501,0.0,0.0,0.0
1680014365794,1194354146387805,2.14905,9.38895,2.00895,0.0,0.0,0.0
1680014365795,1194354148890036,2.223,9.459001,1.9609501,0.0,0.0,0.0
1680014365796,1194354151392497,2.1720002,9.40905,2.0070002,0.0,0.0,0.0
1680014365798,1194354153894656,2.17995,9.397051,1.9519501,0.0,0.0,0.0
1680014365802,1194354156396810,2.11995,9.456,1.9969501,0.0,0.0,0.0
1680014365804,1194354158899194,2.1340501,9.35295,1.9519501,0.0,0.0,0.0
1680014365806,1194354161401348,2.2080002,9.427951,2.0670002,0.0,0.0,0.0
1680014365810,1194354163903565,2.1720002,9.4800005,1.9369501,0.0,0.0,0.0
1680014365811,1194354166405950,2.1340501,9.49005,1.9759501,0.0,0.0,0.0
1680014365813,1194354168908104,2.196,9.46395,1.968,0.0,0.0,0.0
1680014365816,1194354171410334,2.2080002,9.418051,2.112,0.0,0.0,0.0
1680014365820,1194354173912743,2.25405,9.47805,1.9849501,0.0,0.0,0.0
1680014365827,1194354176414897,2.19405,9.40905,2.02605,0.0,0.0,0.0
1680014365827,1194354178917051,2.17995,9.507001,2.1340501,0.0,0.0,0.0
1680014365828,1194354181419512,2.19195,9.47595,2.3040001,0.0,0.0,0.0
1680014365829,1194354183921666,2.2080002,9.444,2.1409502,0.0,0.0,0.0
1680014365832,1194354186423809,2.223,9.471001,2.2699502,0.0,0.0,0.0
1680014365834,1194354188925963,2.3089502,9.423,2.3830502,0.0,0.0,0.0
1680014365836,1194354191428424,2.2710001,9.5119505,2.3800502,0.0,0.0,0.0
1680014365839,1194354193930655,2.21595,9.47805,2.3470502,0.0,0.0,0.0
1680014365844,1194354196432804,2.2710001,9.48495,2.2369502,0.0,0.0,0.0
1680014365845,1194354198934958,2.2420502,9.415951,2.325,0.0,0.0,0.0
1680014365846,1194354201437342,2.25405,9.45195,2.2729502,0.0,0.0,0.0
1680014365848,1194354203939496,2.2420502,9.5119505,2.28705,0.0,0.0,0.0
1680014365851,1194354206441727,2.25405,9.35805,2.3160002,0.0,0.0,0.0
1680014365854,1194354208944117,2.2080002,9.4800005,2.229,0.0,0.0,0.0
1680014365862,1194354211446270,2.26095,9.36795,2.1739502,0.0,0.0,0.0
1680014365862,1194354213948501,2.21595,9.42,2.232,0.0,0.0,0.0
1680014365863,1194354216450655,2.1679502,9.42,2.18205,0.0,0.0,0.0
1680014365864,1194354218953050,2.184,9.456,2.046,0.0,0.0,0.0
1680014365866,1194354221455204,2.29005,9.432,2.14995,0.0,0.0,0.0
1680014365868,1194354223957665,2.1990001,9.4470005,2.019,0.0,0.0,0.0
1680014365871,1194354226459819,2.19405,9.406051,1.9279501,0.0,0.0,0.0
1680014365878,1194354228962001,2.21295,9.399,1.88205,0.0,0.0,0.0
1680014365879,1194354231464232,2.2080002,9.3490505,1.88205,0.0,0.0,0.0
1680014365879,1194354233966385,2.21295,9.37695,1.91805,0.0,0.0,0.0
1680014365882,1194354236468770,2.1769502,9.306001,1.8559501,0.0,0.0,0.0
1680014365884,1194354238971006,2.1370502,9.35595,1.8889501,0.0,0.0,0.0
1680014365888,1194354241473390,2.232,9.274051,1.779,0.0,0.0,0.0
1680014365889,1194354243975544,2.184,9.16395,1.932,0.0,0.0,0.0
1680014365893,1194354246477775,2.1700501,9.222,1.7719501,0.0,0.0,0.0
1680014365896,1194354248979934,2.3089502,9.258,1.8510001,0.0,0.0,0.0
1680014365897,1194354251482088,2.19195,9.327001,1.84395,0.0,0.0,0.0
1680014365899,1194354253984549,2.1720002,9.291,1.8940501,0.0,0.0,0.0
1680014365902,1194354256486703,2.24895,9.295951,1.91805,0.0,0.0,0.0
1680014365904,1194354258988857,2.19195,9.30795,1.96395,0.0,0.0,0.0
1680014365906,1194354261491251,2.259,9.271951,1.9060501,0.0,0.0,0.0
1680014365910,1194354263993481,2.079,9.327001,1.9440001,0.0,0.0,0.0
1680014365912,1194354266495635,2.292,9.271951,1.8730501,0.0,0.0,0.0
1680014365914,1194354268998020,2.2110002,9.33195,2.02605,0.0,0.0,0.0
1680014365916,1194354271500247,2.2350001,9.31005,1.96395,0.0,0.0,0.0
1680014365919,1194354274002401,2.1990001,9.303,2.0020502,0.0,0.0,0.0
1680014365926,1194354276504554,2.319,9.34095,2.05005,0.0,0.0,0.0
1680014365927,1194354279006939,2.1750002,9.38895,2.09505,0.0,0.0,0.0
1680014365928,1194354281509097,2.23005,9.315001,1.9879501,0.0,0.0,0.0
1680014365929,1194354284011328,2.2710001,9.415951,1.9879501,0.0,0.0,0.0
1680014365933,1194354286513712,2.25405,9.45405,2.043,0.0,0.0,0.0
1680014365935,1194354289015943,2.283,9.42,2.02005,0.0,0.0,0.0
1680014365937,1194354291518097,2.25195,9.427951,2.12895,0.0,0.0,0.0
1680014365938,1194354294020481,2.32095,9.423,2.2080002,0.0,0.0,0.0
