system_ts_ms, sensor_ts_ns, magXr, magYr, magZr, magDXr, magDYr, magDZr
1680013658952,1193647307855326,-12.618751,-73.256256,-246.84377,9.35,-61.32,-216.36
1680013658968,1193647317891614,-12.618751,-73.3125,-247.01251,9.35,-61.32,-216.36
1680013658972,1193647327893407,-12.618751,-73.3125,-247.01251,9.35,-61.32,-216.36
1680013658982,1193647337899080,-12.618751,-73.3125,-247.01251,9.35,-61.32,-216.36
1680013658993,1193647347893445,-12.618751,-73.3125,-247.25626,9.35,-61.32,-216.36
1680013659002,1193647357887829,-12.618751,-73.3125,-247.44376,9.35,-61.32,-216.36
1680013659012,1193647367890083,-12.7875,-73.012505,-247.36876,9.35,-61.32,-216.36
1680013659022,1193647377892649,-12.918751,-72.7125,-247.31252,9.35,-61.32,-216.36
1680013659032,1193647387894764,-12.918751,-72.787506,-247.01251,9.35,-61.32,-216.36
1680013659044,1193647397889369,-12.918751,-72.84375,-246.71251,9.35,-61.32,-216.36
1680013659052,1193647407883769,-13.087501,-72.787506,-246.52501,9.35,-61.32,-216.36
1680013659062,1193647417874335,-13.218751,-72.7125,-246.4125,9.35,-61.32,-216.36
1680013659072,1193647427876469,-13.14375,-73.068756,-245.94376,9.35,-61.32,-216.36
1680013659082,1193647437886315,-13.087501,-73.443756,-245.51251,9.35,-61.32,-216.36
1680013659093,1193647447896108,-13.387501,-73.856255,-245.34377,9.35,-61.32,-216.36
1680013659105,1193647457898492,-13.687501,-74.2125,-245.21251,9.35,-61.32,-216.36
1680013659112,1193647467900733,-13.743751,-74.025,-245.34377,9.35,-61.32,-216.36
1680013659123,1193647477896628,-13.81875,-73.912506,-245.51251,9.35,-61.32,-216.36
1680013659132,1193647487875665,-13.9875,-73.9875,-245.58751,9.35,-61.32,-216.36
1680013659143,1193647497877568,-14.118751,-74.025,-245.64375,9.35,-61.32,-216.36
1680013659152,1193647507872241,-14.2875,-73.856255,-245.75626,9.35,-61.32,-216.36
1680013659162,1193647517882827,-14.418751,-73.6125,-245.81252,9.35,-61.32,-216.36
1680013659172,1193647527867606,-14.2875,-73.6125,-245.81252,9.35,-61.32,-216.36
1680013659183,1193647537840442,-14.118751,-73.6125,-245.81252,9.35,-61.32,-216.36
1680013659193,1193647547830893,-14.118751,-73.912506,-245.58751,9.35,-61.32,-216.36
1680013659202,1193647557825658,-14.118751,-74.2125,-245.34377,9.35,-61.32,-216.36
1680013659213,1193647567852975,-13.931251,-74.2125,-245.45625,9.35,-61.32,-216.36
1680013659222,1193647577876744,-13.687501,-74.2125,-245.51251,9.35,-61.32,-216.36
1680013659232,1193647587890277,-13.81875,-73.856255,-245.81252,9.35,-61.32,-216.36
1680013659244,1193647597882224,-13.9875,-73.443756,-246.1125,9.35,-61.32,-216.36
1680013659252,1193647607884372,-13.9875,-73.3125,-246.18752,9.35,-61.32,-216.36
1680013659262,1193647617868602,-13.9875,-73.14375,-246.24376,9.35,-61.32,-216.36
1680013659272,1193647627863087,-13.9875,-73.14375,-246.35626,9.35,-61.32,-216.36
1680013659282,1193647637860389,-13.9875,-73.14375,-246.4125,9.35,-61.32,-216.36
1680013659294,1193647647854894,-13.9875,-72.95625,-246.52501,9.35,-61.32,-216.36
1680013659302,1193647657867317,-13.9875,-72.7125,-246.71251,9.35,-61.32,-216.36
1680013659312,1193647667869605,-13.9875,-72.787506,-246.71251,9.35,-61.32,-216.36
1680013659322,1193647677876598,-13.9875,-72.84375,-246.71251,9.35,-61.32,-216.36
1680013659332,1193647687886681,-13.81875,-72.84375,-246.7875,9.35,-61.32,-216.36
1680013659342,1193647697888842,-13.687501,-72.84375,-246.84377,9.35,-61.32,-216.36
1680013659352,1193647707890876,-14.043751,-72.412506,-246.84377,9.35,-61.32,-216.36
