system_ts_ms, sensor_ts_ns, gyrX, gyrY, gyrZ
1680013190819,1193179167410720,-0.019524999,-0.1043625,-0.0056375
1680013190819,1193179169912566,-0.0155375,-0.091299996,-0.0026125
1680013190819,1193179172414720,-0.01265,-0.084425,-0.0056375
1680013190819,1193179174916796,-0.01155,-0.083325,-0.0075625
1680013190822,1193179177418945,-0.01155,-0.0873125,-0.009625
1680013190824,1193179179920868,-0.008525,-0.078375,-0.01265
1680013190833,1193179182422945,-0.0075625,-0.0653125,-0.015675
1680013190834,1193179184925099,-0.0045375,-0.05335,-0.014575
1680013190835,1193179187427022,-0.0026125,-0.0413875,-0.0105875
1680013190835,1193179189929099,0.0034375,-0.0253,-0.009625
1680013190838,1193179192431022,0.0064625,-0.0103124995,-0.0116875
1680013190841,1193179194933176,0.00935,0.0026125,-0.0166375
1680013190843,1193179197435249,0.012375,0.014575,-0.015675
1680013190845,1193179199937172,0.012375,0.0215875,-0.0105875
1680013190847,1193179202439249,0.013475,0.02365,-0.0066
1680013190850,1193179204941403,0.018424999,0.0286,-0.0026125
1680013190852,1193179207443326,0.023375,0.0297,-0.0026125
1680013190855,1193179209945499,0.02145,0.031625,4.125E-4
1680013190856,1193179212447576,0.02035,0.0336875,0.00935
1680013190863,1193179214949499,0.023375,0.0336875,0.0103124995
1680013190863,1193179217451576,0.024475,0.0356125,0.0133375
1680013190864,1193179219953504,0.0254375,0.0356125,0.012375
1680013190868,1193179222455658,0.02035,0.0325875,0.0114124995
1680013190869,1193179224957812,0.02145,0.0276375,0.007425
1680013190872,1193179227459889,0.02035,0.0226875,4.125E-4
1680013190879,1193179229961826,0.013475,0.01265,-0.003575
1680013190879,1193179232463903,0.01045,-4.125E-4,-0.0066
1680013190880,1193179234965826,0.00935,-0.0103124995,-0.004675
1680013190882,1193179237467903,0.007425,-0.0253,-0.0105875
1680013190885,1193179239970056,0.0034375,-0.04235,-0.009625
1680013190887,1193179242472191,0.0044,-0.050325,-0.01265
1680013190890,1193179244974114,0.002475,-0.062425,-0.0075625
1680013190894,1193179247476191,4.125E-4,-0.0774125,-0.0056375
1680013190895,1193179249978114,4.125E-4,-0.083325,-0.004675
1680013190897,1193179252480191,-0.0026125,-0.0963875,-0.0026125
1680013190900,1193179254982330,-0.00165,-0.1093125,0.006325
1680013190902,1193179257484253,0.001375,-0.11935,0.0103124995
1680013190904,1193179259986407,0.002475,-0.1313125,0.0144375
1680013190907,1193179262488484,0.0034375,-0.138325,0.0193875
1680013190911,1193179264990383,0.0044,-0.150425,0.0243375
1680013190914,1193179267492460,0.0064625,-0.155375,0.0264
1680013190916,1193179269994383,0.0064625,-0.1623875,0.029424999
1680013190918,1193179272496523,0.0053625,-0.1683,0.0303875
1680013190921,1193179274998600,0.0044,-0.17435,0.0273625
1680013190923,1193179277500754,0.0044,-0.1753125,0.0273625
1680013190929,1193179280002677,0.0044,-0.1753125,0.0273625
1680013190929,1193179282504754,0.0044,-0.171325,0.028324999
1680013190930,1193179285006682,0.0034375,-0.1703625,0.028324999
1680013190933,1193179287508759,0.0053625,-0.166375,0.0264
1680013190935,1193179290010913,0.0053625,-0.160325,0.0243375
1680013190937,1193179292513066,0.0044,-0.1584,0.028324999
1680013190939,1193179295014990,0.007425,-0.155375,0.0243375
1680013190945,1193179297517056,0.0064625,-0.1513875,0.0213125
1680013190946,1193179300018980,0.0083875,-0.14533749,0.023375
1680013190947,1193179302521056,0.0083875,-0.1403875,0.023375
1680013190951,1193179305022985,0.00935,-0.1343375,0.023375
1680013190953,1193179307525138,0.0083875,-0.1254,0.0254375
