system_ts_ms, sensor_ts_ns, magX, magY, magZ
1680010222006,1190210361865005,32.7,-29.456251,-3.54375
1680010222028,1190210371867158,32.568752,-29.081251,-3.7875001
1680010222030,1190210381861643,32.381252,-28.743752,-4.0125003
1680010222040,1190210391848474,32.15625,-28.743752,-3.9562502
1680010222046,1190210401842993,31.987501,-28.743752,-3.8437502
1680010222056,1190210411837555,32.04375,-28.556252,-3.6562502
1680010222068,1190210421847382,32.081253,-28.425001,-3.4125001
1680010222076,1190210431857127,32.04375,-27.900002,-3.24375
1680010222086,1190210441859248,31.987501,-27.35625,-3.1125002
1680010222102,1190210451861397,32.15625,-27.900002,-2.8875
1680010222107,1190210461855877,32.381252,-28.425001,-2.6437502
1680010222119,1190210471858030,32.381252,-28.25625,-2.9250002
1680010222127,1190210481860241,32.381252,-28.143751,-3.24375
1680010222137,1190210491862318,32.287502,-27.956251,-3.6562502
1680010222146,1190210501864433,32.081253,-27.843752,-4.0125003
1680010222156,1190210511858918,32.15625,-28.087502,-4.0875
1680010222169,1190210521860970,32.287502,-28.25625,-4.14375
1680010222178,1190210531863109,32.081253,-28.25625,-4.0125003
1680010222188,1190210541857600,31.987501,-28.25625,-3.8437502
1680010222196,1190210551859720,31.800001,-28.3875,-3.7125
1680010222206,1190210561854281,31.66875,-28.425001,-3.54375
1680010222219,1190210571842065,31.500002,-28.556252,-3.4125001
1680010222227,1190210581836589,31.3875,-28.743752,-3.24375
1680010222241,1190210591838823,31.500002,-28.800001,-3.24375
1680010222246,1190210601848573,31.66875,-28.85625,-3.24375
1680010222257,1190210611857726,31.743752,-28.800001,-3.24375
1680010222270,1190210621859851,31.800001,-28.743752,-3.24375
1680010222276,1190210631861928,32.081253,-28.3875,-3.16875
1680010222286,1190210641856394,32.381252,-27.956251,-3.1125002
1680010222297,1190210651828163,32.381252,-28.087502,-2.8875
1680010222310,1190210661838023,32.381252,-28.143751,-2.6437502
1680010222319,1190210671832581,32.15625,-28.087502,-2.6437502
1680010222328,1190210681834710,31.987501,-27.956251,-2.6437502
1680010222337,1190210691853119,31.85625,-27.843752,-2.8125
1680010222346,1190210701847536,31.800001,-27.656252,-2.9250002
1680010222358,1190210711849588,31.743752,-27.656252,-2.9250002
1680010222369,1190210721843929,31.66875,-27.656252,-2.9250002
1680010222376,1190210731859937,31.85625,-27.656252,-2.9250002
1680010222388,1190210741862745,32.081253,-27.656252,-2.9250002
1680010222397,1190210751864894,32.04375,-27.487501,-3.05625
1680010222406,1190210761838668,31.987501,-27.243752,-3.1125002
1680010222416,1190210771833211,32.081253,-27.300001,-3.16875
1680010222427,1190210781836528,32.287502,-27.35625,-3.24375
1680010222437,1190210791831008,31.987501,-27.300001,-3.35625
1680010222447,1190210801838657,31.66875,-27.243752,-3.4125001
1680010222457,1190210811842676,31.556252,-27.487501,-3.4125001
1680010222467,1190210821835291,31.500002,-27.656252,-3.4125001
1680010222479,1190210831837401,31.743752,-27.843752,-3.4125001
1680010222487,1190210841854997,31.987501,-27.956251,-3.4125001
1680010222497,1190210851847535,31.800001,-28.2,-2.9250002
1680010222507,1190210861849689,31.66875,-28.425001,-2.5125
1680010222518,1190210871852905,31.85625,-28.743752,-2.5125
1680010222527,1190210881855395,32.081253,-29.04375,-2.5125
1680010222537,1190210891857548,32.081253,-28.556252,-2.6437502
1680010222547,1190210901856995,32.081253,-28.143751,-2.8125
1680010222557,1190210911855759,32.081253,-28.3875,-2.5875
1680010222567,1190210921858576,32.081253,-28.556252,-2.325
1680010222577,1190210931860710,32.34375,-28.087502,-2.6437502
1680010222587,1190210941865517,32.568752,-27.54375,-2.9250002
1680010222597,1190210951835329,32.568752,-27.656252,-2.6437502
1680010222608,1190210961850512,32.568752,-27.843752,-2.325
1680010222617,1190210971859252,32.456253,-27.843752,-2.2125
1680010222632,1190210981824554,32.381252,-27.843752,-2.04375
1680010222638,1190210991854184,32.381252,-27.54375,-2.4562502
1680010222647,1190211001836789,32.381252,-27.243752,-2.8125
1680010222658,1190211011810577,32.34375,-27.581251,-2.6437502
1680010222668,1190211021841846,32.287502,-27.956251,-2.5125
1680010222679,1190211031847629,32.34375,-27.956251,-2.6437502
1680010222690,1190211041855220,32.381252,-27.956251,-2.8125
1680010222697,1190211051863816,32.568752,-28.3875,-2.7562501
1680010222707,1190211061866008,32.7,-28.743752,-2.6437502
1680010222718,1190211071856536,32.756252,-28.987501,-2.4562502
1680010222727,1190211081835872,32.8875,-29.156252,-2.2125
1680010222737,1190211091848502,32.8875,-29.2875,-1.9687501
1680010222747,1190211101853054,32.8875,-29.343752,-1.7437501
1680010222758,1190211111825294,32.643753,-29.04375,-1.85625
1680010222767,1190211121835087,32.381252,-28.743752,-1.9125
1680010222779,1190211131826985,32.081253,-28.687502,-2.04375
1680010222787,1190211141819100,31.800001,-28.556252,-2.2125
1680010222797,1190211151850970,31.800001,-28.425001,-2.325
1680010222807,1190211161868373,31.800001,-28.25625,-2.5125
1680010222817,1190211171870416,31.800001,-28.087502,-2.8125
1680010222827,1190211181858031,31.800001,-27.843752,-3.1125002
1680010222837,1190211191824915,31.85625,-27.956251,-3.35625
1680010222847,1190211201797275,31.987501,-28.143751,-3.54375
1680010222858,1190211211794741,31.987501,-27.956251,-3.54375
1680010222868,1190211221785875,31.987501,-27.843752,-3.54375
1680010222878,1190211231791629,31.987501,-28.087502,-3.4125001
1680010222887,1190211241782869,31.987501,-28.25625,-3.24375
1680010222898,1190211251762171,32.15625,-28.556252,-3.1125002
1680010222907,1190211261762205,32.381252,-28.85625,-2.9250002
1680010222917,1190211271771964,32.456253,-29.04375,-2.6437502
1680010222929,1190211281766493,32.568752,-29.156252,-2.325
1680010222936,1190211291788281,32.756252,-29.2875,-2.4562502
1680010222947,1190211301792425,33.0,-29.343752,-2.5125
1680010222958,1190211311799395,32.925003,-29.2875,-2.5125
1680010222968,1190211321816145,32.8875,-29.156252,-2.5125
1680010222977,1190211331825746,32.568752,-29.2875,-2.6437502
1680010222987,1190211341836702,32.287502,-29.343752,-2.8125
1680010222997,1190211351840880,32.15625,-29.2875,-3.05625
1680010223008,1190211361848726,32.081253,-29.156252,-3.24375
1680010223017,1190211371812317,32.04375,-29.081251,-3.16875
1680010223028,1190211381788485,31.987501,-29.04375,-3.1125002
1680010223037,1190211391762659,32.04375,-28.987501,-3.05625
1680010223047,1190211401744721,32.081253,-28.85625,-2.9250002
1680010223058,1190211411746797,32.04375,-28.800001,-2.8125
1680010223068,1190211421775003,31.987501,-28.743752,-2.6437502
1680010223079,1190211431790623,32.081253,-28.743752,-2.5125
1680010223087,1190211441792161,32.287502,-28.743752,-2.325
1680010223098,1190211451802602,32.34375,-29.04375,-2.325
1680010223107,1190211461809227,32.381252,-29.343752,-2.325
1680010223117,1190211471820073,32.34375,-29.587502,-2.325
1680010223127,1190211481809424,32.287502,-29.75625,-2.325
1680010223138,1190211491795995,32.456253,-29.8875,-2.325
1680010223148,1190211501760134,32.7,-29.925001,-2.325
