system_ts_ms, sensor_ts_ns, graX, graY, graZ
1680009479625,1189467977444675,1.346,7.537,6.126
1680009479625,1189467979946906,1.35,7.537,6.126
1680009479640,1189467982449060,1.352,7.536,6.127
1680009479640,1189467984951445,1.355,7.535,6.127
1680009479641,1189467987453580,1.357,7.534,6.127
1680009479641,1189467989955734,1.36,7.534,6.128
1680009479641,1189467992457888,1.362,7.533,6.128
1680009479641,1189467994960042,1.369,7.533,6.126
1680009479642,1189467997462273,1.372,7.533,6.127
1680009479647,1189467999964435,1.373,7.532,6.127
1680009479648,1189468002466819,1.375,7.531,6.128
1680009479651,1189468004968973,1.377,7.53,6.128
1680009479653,1189468007471127,1.379,7.529,6.129
1680009479654,1189468009973277,1.38,7.529,6.129
1680009479657,1189468012475508,1.381,7.532,6.125
1680009479663,1189468014977661,1.383,7.531,6.125
1680009479663,1189468017479815,1.384,7.531,6.126
1680009479665,1189468019982204,1.386,7.53,6.127
1680009479667,1189468022484358,1.388,7.529,6.128
1680009479672,1189468024986512,1.389,7.528,6.128
1680009479674,1189468027488742,1.391,7.527,6.129
1680009479675,1189468029990888,1.392,7.531,6.124
1680009479680,1189468032493273,1.393,7.53,6.125
1680009479681,1189468034995196,1.395,7.529,6.125
1680009479682,1189468037497657,1.396,7.528,6.126
1680009479685,1189468039999734,1.398,7.527,6.127
1680009479687,1189468042501950,1.399,7.526,6.128
1680009479691,1189468045004104,1.401,7.525,6.129
1680009479697,1189468047506258,1.398,7.527,6.127
1680009479697,1189468050008412,1.399,7.526,6.128
1680009479698,1189468052510791,1.401,7.525,6.129
1680009479702,1189468055012945,1.402,7.524,6.13
1680009479702,1189468057515176,1.404,7.523,6.13
1680009479705,1189468060017330,1.405,7.522,6.131
1680009479709,1189468062519489,1.407,7.521,6.132
1680009479714,1189468065021643,1.408,7.521,6.133
1680009479714,1189468067524027,1.41,7.52,6.134
1680009479715,1189468070026181,1.411,7.518,6.135
1680009479718,1189468072528335,1.412,7.517,6.136
1680009479721,1189468075030581,1.413,7.516,6.137
1680009479722,1189468077532734,1.414,7.515,6.138
1680009479725,1189468080034888,1.415,7.514,6.139
1680009479730,1189468082537042,1.418,7.509,6.145
1680009479731,1189468085039407,1.419,7.507,6.147
1680009479732,1189468087541561,1.42,7.506,6.148
1680009479735,1189468090043714,1.42,7.505,6.149
1680009479737,1189468092545945,1.42,7.504,6.15
1680009479741,1189468095048079,1.421,7.503,6.152
1680009479742,1189468097550233,1.421,7.502,6.153
1680009479748,1189468100052618,1.419,7.501,6.155
1680009479749,1189468102554771,1.419,7.499,6.156
1680009479751,1189468105056983,1.419,7.498,6.158
1680009479752,1189468107559060,1.419,7.497,6.159
1680009479755,1189468110061291,1.418,7.496,6.16
1680009479757,1189468112563445,1.418,7.496,6.161
1680009479764,1189468115065834,1.418,7.495,6.163
1680009479764,1189468117567988,1.416,7.49,6.168
1680009479765,1189468120070142,1.416,7.489,6.17
1680009479767,1189468122572373,1.416,7.488,6.171
1680009479771,1189468125074435,1.415,7.487,6.172
1680009479772,1189468127576666,1.415,7.486,6.173
1680009479775,1189468130079050,1.414,7.485,6.175
1680009479782,1189468132581204,1.414,7.485,6.176
1680009479783,1189468135083354,1.411,7.483,6.179
1680009479784,1189468137585508,1.41,7.482,6.18
1680009479786,1189468140087662,1.41,7.481,6.181
