system_ts_ms, sensor_ts_ns, magX, magY, magZ
1680008971607,1188959957884237,2.7562501,-23.587502,-30.35625
1680008971630,1188959967916006,2.7562501,-23.8875,-30.112501
1680008971631,1188959977917439,2.7,-23.925001,-29.812502
1680008971636,1188959987911683,2.6437502,-24.0,-29.5125
1680008971643,1188959997880467,2.3812501,-23.8875,-29.925001
1680008971653,1188960007882539,2.15625,-23.7,-30.300001
1680008971663,1188960017887048,1.9125,-23.5125,-30.300001
1680008971675,1188960027890341,1.7437501,-23.2875,-30.300001
1680008971683,1188960037925873,1.5,-23.04375,-30.300001
1680008971693,1188960047892046,1.25625,-22.800001,-30.300001
1680008971704,1188960057880811,1.3125,-22.6875,-30.35625
1680008971714,1188960067882455,1.44375,-22.5,-30.4125
1680008971726,1188960077864368,1.6125001,-22.800001,-30.056252
1680008971733,1188960087890742,1.85625,-23.1,-29.7
1680008971743,1188960097873478,1.85625,-23.04375,-29.812502
1680008971755,1188960107843541,1.85625,-22.987501,-30.000002
1680008971763,1188960117832521,2.2125,-23.212502,-30.056252
1680008971776,1188960127814602,2.6437502,-23.400002,-30.112501
1680008971783,1188960137818991,2.8125,-23.400002,-30.056252
1680008971793,1188960147814991,3.05625,-23.400002,-30.000002
1680008971803,1188960157833049,3.05625,-23.04375,-30.4125
1680008971813,1188960167823885,3.05625,-22.6875,-30.900002
1680008971825,1188960177832524,3.24375,-22.987501,-30.4125
1680008971833,1188960187863763,3.35625,-23.2875,-30.000002
1680008971843,1188960197852224,3.35625,-23.400002,-29.925001
1680008971853,1188960207887362,3.35625,-23.587502,-29.812502
1680008971864,1188960217870409,3.24375,-23.643751,-30.112501
1680008971875,1188960227840803,3.05625,-23.7,-30.4125
1680008971883,1188960237852586,3.05625,-23.925001,-30.056252
1680008971894,1188960247827432,3.05625,-24.187502,-29.7
1680008971907,1188960257827744,3.05625,-23.8875,-30.000002
1680008971913,1188960267823994,3.05625,-23.587502,-30.300001
1680008971927,1188960277803412,3.1125002,-23.643751,-30.112501
1680008971933,1188960287822927,3.24375,-23.7,-30.000002
1680008971944,1188960297870301,3.1125002,-23.8125,-30.000002
1680008971953,1188960307881372,3.05625,-23.8875,-30.000002
1680008971964,1188960317891136,3.1125002,-23.8125,-30.000002
1680008971973,1188960327862925,3.24375,-23.7,-30.000002
1680008971984,1188960337814006,3.0,-23.925001,-30.000002
1680008971993,1188960347816126,2.7562501,-24.187502,-30.000002
1680008972003,1188960357824741,2.4562502,-24.112501,-30.000002
1680008972017,1188960367832928,2.15625,-24.0,-30.000002
1680008972023,1188960377852312,2.0812502,-24.0,-29.925001
1680008972034,1188960387871494,2.04375,-24.0,-29.812502
1680008972043,1188960397873109,1.9125,-24.187502,-29.75625
1680008972055,1188960407871791,1.85625,-24.300001,-29.7
1680008972064,1188960417854709,2.15625,-24.4125,-29.400002
1680008972075,1188960427823421,2.4562502,-24.487501,-29.081251
1680008972084,1188960437799036,2.8125,-24.300001,-29.212502
1680008972093,1188960447820113,3.24375,-24.187502,-29.400002
1680008972104,1188960457821179,3.1125002,-24.112501,-29.343752
1680008972114,1188960467825097,3.05625,-24.0,-29.212502
1680008972125,1188960477831015,2.9250002,-23.8125,-29.400002
1680008972133,1188960487831404,2.7562501,-23.587502,-29.5125
1680008972144,1188960497840009,2.5125,-23.587502,-29.5125
1680008972156,1188960507846965,2.325,-23.587502,-29.5125
1680008972167,1188960517858330,2.04375,-23.643751,-29.400002
1680008972173,1188960527860430,1.7437501,-23.7,-29.212502
1680008972185,1188960537870353,2.04375,-23.925001,-28.9125
1680008972194,1188960547880660,2.325,-24.187502,-28.612501
1680008972206,1188960557887756,2.5125,-24.487501,-28.500002
1680008972214,1188960567890083,2.7562501,-24.7875,-28.312502
1680008972224,1188960577898698,3.0,-24.7875,-28.425001
1680008972237,1188960587876900,3.24375,-24.7875,-28.500002
1680008972243,1188960597880038,3.24375,-24.712502,-28.612501
1680008972254,1188960607874331,3.24375,-24.6,-28.800001
1680008972266,1188960617876514,3.24375,-24.6,-28.9125
1680008972274,1188960627909974,3.24375,-24.6,-29.081251
1680008972283,1188960637886032,3.1125002,-24.7875,-29.081251
1680008972294,1188960647888330,3.05625,-24.900002,-29.081251
1680008972304,1188960657894999,3.05625,-25.2,-29.04375
1680008972316,1188960667890690,3.05625,-25.500002,-28.9125
1680008972323,1188960677918920,3.35625,-25.687502,-28.9125
1680008972333,1188960687920887,3.6562502,-25.800001,-28.9125
1680008972344,1188960697910862,3.6562502,-25.743752,-29.081251
1680008972356,1188960707920627,3.6562502,-25.687502,-29.212502
1680008972366,1188960717922684,3.54375,-25.612501,-29.400002
1680008972374,1188960727925908,3.35625,-25.500002,-29.5125
1680008972383,1188960737928581,3.54375,-25.312502,-29.343752
1680008972393,1188960747921855,3.6562502,-25.087502,-29.081251
1680008972404,1188960757924027,3.54375,-25.312502,-28.85625
1680008972415,1188960767926060,3.35625,-25.500002,-28.612501
1680008972424,1188960777928916,3.4125001,-25.612501,-28.500002
1680008972434,1188960787896781,3.54375,-25.687502,-28.312502
1680008972443,1188960797900113,3.6562502,-25.612501,-28.25625
1680008972452,1188960807901266,3.8437502,-25.500002,-28.2
1680008972463,1188960817895779,3.24375,-25.425001,-28.556252
1680008972472,1188960827924539,2.6437502,-25.3875,-28.9125
1680008972482,1188960837919043,2.3812501,-25.0125,-29.04375
1680008972492,1188960847913572,2.15625,-24.6,-29.081251
1680008972502,1188960857923360,2.0812502,-24.4125,-29.400002
1680008972516,1188960867936283,2.04375,-24.187502,-29.7
1680008972524,1188960877937196,1.9125,-24.300001,-29.5125
