system_ts_ms, sensor_ts_ns, linX, linY, linZ
1680007949385,1187937735399417,0.074,0.09,0.281
1680007949387,1187937737901571,0.047,0.169,0.229
1680007949388,1187937740403725,-0.02,0.113,0.286
1680007949388,1187937742906022,-0.007,0.084,0.261
1680007949390,1187937745408176,0.019,0.136,0.128
1680007949401,1187937747910330,-0.007,0.079,0.198
1680007949401,1187937750412407,0.047,0.0,0.183
1680007949401,1187937752914571,0.033,0.147,0.145
1680007949402,1187937755416725,0.006,0.117,0.229
1680007949402,1187937757918879,0.005,0.075,0.082
1680007949405,1187937760421109,0.018,0.1,0.194
1680007949409,1187937762923167,0.113,0.098,0.034
1680007949411,1187937765425321,0.154,0.055,0.036
1680007949413,1187937767927475,0.179,0.083,0.16
1680007949416,1187937770429629,0.178,0.164,0.122
1680007949418,1187937772931783,0.219,0.271,0.07
1680007949420,1187937775434008,0.287,0.228,0.222
1680007949423,1187937777936085,0.218,0.281,0.17
1680007949426,1187937780438239,0.273,0.266,0.254
1680007949433,1187937782940393,0.395,0.264,0.284
1680007949433,1187937785442547,0.353,0.344,0.246
1680007949433,1187937787944701,0.394,0.37,0.316
1680007949435,1187937790446855,0.394,0.273,0.332
1680007949438,1187937792949085,0.422,0.38,0.333
1680007949441,1187937795451142,0.422,0.283,0.28
1680007949443,1187937797953296,0.505,0.404,0.323
1680007949449,1187937800455450,0.492,0.321,0.338
1680007949450,1187937802957604,0.461,0.336,0.326
1680007949451,1187937805459579,0.544,0.321,0.327
1680007949453,1187937807961964,0.49,0.414,0.438
1680007949455,1187937810464117,0.49,0.344,0.33
1680007949458,1187937812966271,0.409,0.397,0.278
1680007949460,1187937815468425,0.478,0.381,0.238
1680007949466,1187937817970589,0.288,0.366,0.254
1680007949466,1187937820472743,0.382,0.351,0.203
1680007949468,1187937822974974,0.3,0.39,0.151
1680007949471,1187937825477051,0.315,0.279,0.071
1680007949474,1187937827979190,0.302,0.277,0.304
1680007949476,1187937830481344,0.234,0.356,0.265
1680007949482,1187937832983498,0.276,0.341,0.185
1680007949482,1187937835485421,0.263,0.216,0.241
1680007949485,1187937837987584,0.303,0.271,0.27
1680007949488,1187937840489969,0.194,0.364,0.285
1680007949490,1187937842992122,0.168,0.403,0.287
1680007949491,1187937845494276,0.168,0.333,0.194
1680007949493,1187937847996430,0.182,0.345,0.387
1680007949499,1187937850498575,0.168,0.289,0.198
1680007949499,1187937853000498,0.127,0.314,0.296
1680007949500,1187937855502883,0.197,0.338,0.243
1680007949504,1187937858005037,0.17,0.337,0.286
1680007949506,1187937860507166,0.17,0.362,0.302
1680007949508,1187937863009320,0.184,0.428,0.236
1680007949510,1187937865511474,0.157,0.29,0.388
1680007949515,1187937868013628,0.157,0.398,0.268
1680007949516,1187937870515536,0.32,0.314,0.229
1680007949519,1187937873017921,0.174,0.405,0.218
1680007949522,1187937875520075,0.256,0.348,0.275
1680007949524,1187937878022228,0.256,0.428,0.264
1680007949527,1187937880524368,0.202,0.399,0.157
1680007949532,1187937883026291,0.175,0.37,0.295
1680007949533,1187937885528445,0.23,0.355,0.324
1680007949533,1187937888030830,0.271,0.353,0.244
1680007949536,1187937890532984,0.246,0.365,0.366
1680007949538,1187937893035099,0.247,0.431,0.286
1680007949541,1187937895537252,0.247,0.361,0.166
1680007949543,1187937898039406,0.18,0.455,0.276
1680007949552,1187937900541560,0.166,0.412,0.292
1680007949553,1187937903043488,0.167,0.369,0.321
1680007949554,1187937905545873,0.208,0.381,0.269
1680007949554,1187937908048027,0.291,0.405,0.244
1680007949557,1187937910550180,0.223,0.444,0.369
1680007949560,1187937913052329,0.21,0.293,0.153
1680007949565,1187937915554252,0.21,0.455,0.399
1680007949566,1187937918056406,0.265,0.358,0.319
1680007949566,1187937920558791,0.307,0.315,0.349
1680007949568,1187937923060945,0.266,0.313,0.323
1680007949571,1187937925563099,0.334,0.313,0.323
1680007949574,1187937928065252,0.253,0.285,0.243
1680007949575,1187937930567176,0.307,0.228,0.191
1680007949579,1187937933069329,0.267,0.336,0.234
1680007949584,1187937935571743,0.226,0.225,0.276
1680007949585,1187937938073897,0.227,0.414,0.305
1680007949586,1187937940576051,0.295,0.358,0.253
1680007949588,1187937943078205,0.202,0.394,0.188
1680007949591,1187937945580387,0.257,0.338,0.095
1680007949594,1187937948082311,0.298,0.363,0.192
1680007949598,1187937950584464,0.162,0.416,0.181
1680007949600,1187937953086849,0.203,0.305,0.087
1680007949602,1187937955588998,0.135,0.304,0.157
1680007949603,1187937958091152,0.162,0.33,0.214
1680007949606,1187937960593075,0.19,0.312,0.123
1680007949608,1187937963095459,0.204,0.243,0.165
1680007949610,1187937965597613,0.218,0.255,0.276
1680007949615,1187937968099782,0.123,0.253,0.278
1680007949617,1187937970601936,0.245,0.306,0.252
1680007949618,1187937973103859,0.178,0.346,0.227
1680007949620,1187937975606013,0.232,0.372,0.256
1680007949623,1187937978108368,0.299,0.288,0.164
1680007949627,1187937980610522,0.203,0.341,0.194
1680007949632,1187937983112445,0.244,0.285,0.196
1680007949633,1187937985614599,0.163,0.298,0.143
1680007949636,1187937988116753,0.245,0.269,0.199
1680007949639,1187937990617829,0.218,0.322,0.228
1680007949639,1187937993118908,0.218,0.32,0.23
1680007949641,1187937995623445,0.299,0.227,0.337
1680007949643,1187937998125599,0.218,0.293,0.202
1680007949649,1187938000627787,0.15,0.36,0.203
1680007949649,1187938003129710,0.192,0.208,0.273
1680007949652,1187938005631864,0.22,0.248,0.37
1680007949653,1187938008134018,0.18,0.355,0.249
1680007949657,1187938010636393,0.167,0.312,0.196
1680007949658,1187938013138546,0.116,0.216,0.289
1680007949661,1187938015640700,0.063,0.241,0.317
1680007949666,1187938018142854,0.173,0.253,0.169
1680007949667,1187938020644782,0.173,0.278,0.225
1680007949668,1187938023146936,0.093,0.29,0.213
1680007949672,1187938025649090,0.012,0.261,0.228
1680007949676,1187938028151475,0.067,0.273,0.23
1680007949677,1187938030653388,0.125,0.349,0.178
1680007949682,1187938033155541,0.127,0.252,0.22
1680007949683,1187938035657695,0.046,0.263,0.113
1680007949683,1187938038159849,0.088,0.289,0.128
1680007949687,1187938040662003,0.116,0.191,0.117
1680007949689,1187938043164422,0.13,0.325,0.146
1680007949690,1187938045666576,0.158,0.31,0.093
1680007949694,1187938048168729,0.12,0.344,0.071
1680007949701,1187938050670652,0.067,0.287,0.128
1680007949702,1187938053172820,0.067,0.394,0.103
1680007949703,1187938055674974,0.163,0.297,0.105
1680007949703,1187938058177359,0.096,0.267,0.107
1680007949707,1187938060679282,0.096,0.279,0.014
1680007949710,1187938063181480,0.069,0.263,0.126
1680007949712,1187938065683634,0.032,0.218,0.154
1680007949716,1187938068185787,0.074,0.229,0.211
1680007949717,1187938070687941,0.047,0.2,0.214
1680007949719,1187938073190095,0.102,0.239,0.189
1680007949721,1187938075692484,0.034,0.196,0.301
1680007949724,1187938078194407,0.129,0.248,0.168
1680007949727,1187938080696561,0.102,0.164,0.293
1680007949732,1187938083198715,0.132,0.217,0.225
1680007949733,1187938085700859,0.105,0.105,0.255
1680007949734,1187938088202936,0.105,0.185,0.217
1680007949737,1187938090705167,0.105,0.169,0.343
1680007949741,1187938093207321,0.133,0.18,0.223
1680007949742,1187938095709465,0.106,0.096,0.281
1680007949743,1187938098211619,0.174,0.134,0.189
1680007949749,1187938100713772,0.015,0.186,0.282
1680007949750,1187938103215926,0.111,0.156,0.312
1680007949752,1187938105718085,0.139,0.181,0.22
1680007949756,1187938108220239,0.057,0.192,0.129
1680007949758,1187938110722393,0.139,0.23,0.105
1680007949759,1187938113224547,0.098,0.173,0.136
1680007949761,1187938115726701,0.152,0.197,0.031
1680007949769,1187938118228830,0.046,0.245,0.051
1680007949771,1187938120730984,0.155,0.283,0.151
1680007949771,1187938123233369,0.168,0.444,0.06
1680007949772,1187938125735292,0.249,0.413,0.079
1680007949774,1187938128237465,0.153,0.356,-0.011
1680007949777,1187938130739619,0.466,0.898,-0.169
1680007949779,1187938133241773,0.166,0.608,0.08
1680007949783,1187938135743849,0.111,0.432,-0.227
1680007949785,1187938138246085,0.042,0.537,-0.411
1680007949788,1187938140748239,-0.068,0.329,-0.309
1680007949790,1187938143250393,-0.178,0.312,-0.112
1680007949792,1187938145752547,-0.179,0.186,-0.106
1680007949794,1187938148254701,-0.167,0.21,-0.059
1680007949796,1187938150756879,-0.169,0.18,0.042
1680007949799,1187938153258955,-0.177,0.198,-0.03
1680007949801,1187938155761186,-0.097,0.153,-0.065
1680007949803,1187938158263340,-0.071,0.163,0.064
1680007949806,1187938160765494,-0.236,0.187,-0.078
1680007949808,1187938163267648,-0.061,0.129,-0.043
1680007949810,1187938165769725,-0.117,0.166,-0.05
