system_ts_ms, sensor_ts_ns, linX, linY, linZ
1680001706801,1181695155538895,0.531,0.285,0.338
1680001706803,1181695158041097,0.461,0.275,0.267
1680001706805,1181695160543250,0.528,0.44,0.091
1680001706807,1181695163045173,0.513,0.495,-0.071
1680001706810,1181695165547327,0.608,0.441,0.133
1680001706812,1181695168049712,0.58,0.429,0.011
1680001706822,1181695170551880,0.525,0.456,-0.042
1680001706823,1181695173054034,0.483,0.525,-0.042
1680001706823,1181695175556187,0.269,0.532,0.004
1680001706823,1181695178058341,0.404,0.559,-0.048
1680001706825,1181695180560495,0.349,0.532,-0.006
1680001706827,1181695183062649,0.307,0.601,0.144
1680001706830,1181695185564880,0.252,0.506,0.119
1680001706833,1181695188067034,0.291,0.52,0.012
1680001706835,1181695190569178,0.372,0.411,0.0
1680001706838,1181695193071331,0.253,0.5,0.006
1680001706840,1181695195573485,0.307,0.445,-0.073
1680001706842,1181695198075639,0.251,0.364,-0.016
1680001706846,1181695200577793,0.237,0.269,0.121
1680001706850,1181695203080178,0.331,0.296,0.15
1680001706850,1181695205582331,0.248,0.297,0.166
1680001706853,1181695208084485,0.288,0.283,0.113
1680001706856,1181695210586639,0.288,0.322,0.036
1680001706858,1181695213088779,0.259,0.323,0.025
1680001706861,1181695215590933,0.272,0.241,0.109
1680001706863,1181695218093164,0.243,0.309,0.207
1680001706868,1181695220595317,0.378,0.283,0.264
1680001706868,1181695223097427,0.268,0.228,0.171
1680001706872,1181695225599581,0.349,0.283,0.242
1680001706874,1181695228101658,0.335,0.35,0.083
1680001706876,1181695230603812,0.334,0.35,0.194
1680001706878,1181695233106253,0.373,0.241,0.047
1680001706885,1181695235608407,0.386,0.31,0.049
1680001706885,1181695238110330,0.385,0.283,0.065
1680001706886,1181695240612484,0.424,0.256,0.203
1680001706888,1181695243114648,0.382,0.338,0.177
1680001706891,1181695245617033,0.554,0.247,0.099
1680001706893,1181695248118956,0.594,0.207,0.183
1680001706896,1181695250621340,0.552,0.248,0.102
1680001706901,1181695253123489,0.552,0.262,0.103
1680001706902,1181695255625643,0.538,0.221,0.213
1680001706903,1181695258127797,0.578,0.249,0.105
1680001706905,1181695260629951,0.537,0.29,0.201
1680001706909,1181695263132134,0.467,0.292,0.186
1680001706912,1181695265634364,0.44,0.183,0.146
1680001706914,1181695268136518,0.481,0.252,0.268
1680001706918,1181695270638672,0.467,0.279,0.241
1680001706918,1181695273140826,0.467,0.306,0.242
1680001706920,1181695275642975,0.344,0.306,0.174
1680001706923,1181695278145129,0.358,0.279,0.174
1680001706927,1181695280647283,0.412,0.307,0.174
1680001706928,1181695283149667,0.357,0.266,0.119
1680001706935,1181695285651831,0.302,0.334,0.038
1680001706935,1181695288153985,0.329,0.239,0.066
1680001706935,1181695290656139,0.316,0.307,0.107
1680001706938,1181695293158293,0.397,0.347,0.176
1680001706941,1181695295660201,0.452,0.361,0.19
1680001706943,1181695298162662,0.371,0.413,0.083
1680001706948,1181695300664816,0.33,0.358,0.111
1680001706954,1181695303166970,0.317,0.317,0.153
1680001706954,1181695305669018,0.344,0.385,0.126
1680001706955,1181695308171249,0.289,0.372,0.112
1680001706957,1181695310673403,0.344,0.344,0.126
1680001706958,1181695313175556,0.357,0.331,0.181
1680001706961,1181695315677710,0.373,0.397,0.221
1680001706963,1181695318179869,0.373,0.37,0.125
1680001706968,1181695320682023,0.454,0.342,0.167
1680001706969,1181695323184408,0.427,0.383,0.222
1680001706971,1181695325686331,0.291,0.288,0.168
1680001706973,1181695328188470,0.332,0.287,0.236
1680001706975,1181695330690855,0.427,0.396,0.169
1680001706979,1181695333193009,0.332,0.327,0.102
1680001706981,1181695335695163,0.36,0.408,0.198
1680001706986,1181695338197298,0.305,0.34,0.157
1680001706987,1181695340699452,0.278,0.285,0.199
1680001706988,1181695343201605,0.387,0.407,0.186
1680001706991,1181695345703836,0.36,0.38,0.159
1680001706993,1181695348205990,0.374,0.434,0.146
1680001706996,1181695350708110,0.375,0.444,0.028
1680001707002,1181695353210264,0.253,0.416,0.124
1680001707004,1181695355712418,0.402,0.334,0.247
1680001707004,1181695358214571,0.321,0.266,0.179
1680001707007,1181695360716735,0.294,0.361,0.166
1680001707009,1181695363219120,0.253,0.388,0.18
1680001707011,1181695365721274,0.294,0.333,0.126
1680001707014,1181695368223428,0.362,0.332,0.14
1680001707021,1181695370725581,0.295,0.373,0.141
1680001707023,1181695373227725,0.349,0.291,0.196
1680001707024,1181695375729879,0.24,0.372,0.237
1680001707025,1181695378232110,0.281,0.385,0.224
1680001707027,1181695380734187,0.241,0.385,0.129
1680001707028,1181695383236360,0.268,0.357,0.197
1680001707036,1181695385738590,0.35,0.263,0.182
1680001707037,1181695388240744,0.377,0.33,0.196
1680001707038,1181695390742821,0.377,0.344,0.155
