system_ts_ms, sensor_ts_ns, rotX, rotY, rotZ, rotL
1680001706801,1181695155538895,0.597873,-0.00986,0.601018,0.530307
1680001706803,1181695158041097,0.597751,-0.010037,0.601175,0.530264
1680001706806,1181695160543250,0.597766,-0.010103,0.601198,0.530219
1680001706807,1181695163045173,0.59779,-0.010146,0.601211,0.530177
1680001706810,1181695165547327,0.597812,-0.010187,0.601222,0.530139
1680001706812,1181695168049726,0.597834,-0.010226,0.601231,0.530104
1680001706822,1181695170551880,0.597857,-0.010262,0.601232,0.530075
1680001706823,1181695173054034,0.59788,-0.010298,0.60123,0.530051
1680001706823,1181695175556187,0.598119,-0.010021,0.600948,0.530107
1680001706823,1181695178058341,0.598181,-0.010051,0.600894,0.530098
1680001706825,1181695180560495,0.598243,-0.010128,0.600842,0.530084
1680001706827,1181695183062649,0.598314,-0.010219,0.60078,0.530073
1680001706830,1181695185564880,0.598388,-0.010317,0.600712,0.530066
1680001706834,1181695188067034,0.598456,-0.010405,0.600647,0.530059
1680001706835,1181695190569178,0.598519,-0.010488,0.600587,0.530056
1680001706838,1181695193071331,0.598785,-0.010274,0.600261,0.530129
1680001706840,1181695195573485,0.598879,-0.010335,0.600155,0.530141
1680001706842,1181695198075639,0.598957,-0.010435,0.600068,0.530149
1680001706846,1181695200577793,0.599037,-0.010539,0.599975,0.530162
1680001706850,1181695203080178,0.599121,-0.010649,0.599882,0.530171
1680001706850,1181695205582331,0.59921,-0.010761,0.599785,0.530177
1680001706853,1181695208084485,0.599296,-0.010869,0.599693,0.530183
1680001706856,1181695210586639,0.599503,-0.010895,0.599491,0.530175
1680001706858,1181695213088779,0.599608,-0.010992,0.599387,0.530173
1680001706861,1181695215590933,0.599706,-0.011097,0.59929,0.530169
1680001706863,1181695218093164,0.599806,-0.011208,0.599191,0.530166
1680001706868,1181695220595317,0.599912,-0.011323,0.599089,0.530159
1680001706868,1181695223097427,0.600017,-0.011433,0.598994,0.530145
1680001706872,1181695225599581,0.60012,-0.011539,0.5989,0.530132
1680001706874,1181695228101658,0.600297,-0.011568,0.598735,0.530117
1680001706876,1181695230603812,0.600401,-0.011653,0.598646,0.530098
1680001706878,1181695233106253,0.600497,-0.011747,0.598567,0.530077
1680001706885,1181695235608407,0.60059,-0.011842,0.598489,0.530057
1680001706885,1181695238110330,0.60068,-0.011934,0.598416,0.530036
1680001706886,1181695240612484,0.600763,-0.012023,0.59835,0.530014
1680001706888,1181695243114648,0.600834,-0.012101,0.598294,0.529994
1680001706891,1181695245617033,0.600985,-0.012413,0.598309,0.529799
1680001706893,1181695248118956,0.601059,-0.012502,0.598264,0.529764
1680001706896,1181695250621340,0.601116,-0.01256,0.598222,0.529746
1680001706901,1181695253123489,0.601159,-0.012602,0.598192,0.52973
1680001706902,1181695255625643,0.601193,-0.01263,0.598174,0.529711
1680001706903,1181695258127797,0.601215,-0.012647,0.598167,0.529693
1680001706906,1181695260629951,0.601231,-0.012654,0.598165,0.529678
1680001706909,1181695263132134,0.601206,-0.012768,0.598238,0.529621
1680001706912,1181695265634364,0.601178,-0.014317,0.59689,0.531131
1680001706914,1181695268136518,0.601186,-0.014316,0.596888,0.531125
1680001706918,1181695270638672,0.601193,-0.014298,0.5969,0.531103
1680001706918,1181695273140826,0.601204,-0.014274,0.596917,0.531073
1680001706920,1181695275642975,0.601216,-0.014248,0.596934,0.531042
1680001706923,1181695278145129,0.60123,-0.014222,0.59695,0.531009
1680001706927,1181695280647283,0.601208,-0.014239,0.597011,0.530964
1680001706928,1181695283149667,0.601223,-0.014214,0.597032,0.530924
1680001706935,1181695285651831,0.601244,-0.014184,0.597052,0.530879
1680001706935,1181695288153985,0.601261,-0.014152,0.597073,0.530836
1680001706935,1181695290656139,0.601281,-0.014121,0.597091,0.530795
1680001706938,1181695293158293,0.601298,-0.01409,0.597109,0.530755
1680001706941,1181695295660201,0.601318,-0.01406,0.597123,0.530718
1680001706943,1181695298162662,0.601436,-0.013928,0.597031,0.530691
1680001706948,1181695300664816,0.60146,-0.013888,0.597037,0.530659
1680001706954,1181695303166970,0.601479,-0.013863,0.597048,0.530625
1680001706954,1181695305669018,0.601498,-0.013842,0.597057,0.530594
1680001706955,1181695308171249,0.601513,-0.013821,0.597068,0.530564
1680001706957,1181695310673403,0.60153,-0.013801,0.597077,0.530536
1680001706958,1181695313175556,0.601547,-0.013781,0.597084,0.530509
1680001706961,1181695315677710,0.601481,-0.013676,0.597095,0.530575
1680001706963,1181695318179869,0.60149,-0.013649,0.5971,0.530559
1680001706968,1181695320682023,0.601506,-0.013628,0.597102,0.530539
1680001706969,1181695323184408,0.601525,-0.013609,0.597104,0.530517
1680001706971,1181695325686331,0.601523,-0.014591,0.596217,0.531489
1680001706973,1181695328188470,0.601544,-0.014579,0.596205,0.531478
1680001706975,1181695330690855,0.601565,-0.014558,0.596202,0.53146
1680001706979,1181695333193009,0.601627,-0.014492,0.596151,0.531449
1680001706981,1181695335695163,0.601653,-0.014469,0.596137,0.531435
1680001706986,1181695338197298,0.601672,-0.014451,0.596129,0.531423
1680001706987,1181695340699452,0.601692,-0.014434,0.596118,0.531413
1680001706988,1181695343201605,0.601712,-0.014419,0.596106,0.531405
1680001706991,1181695345703836,0.601707,-0.015311,0.595293,0.532295
1680001706993,1181695348205990,0.601725,-0.015305,0.595276,0.532296
1680001706996,1181695350708110,0.601923,-0.015166,0.595097,0.532275
1680001707003,1181695353210264,0.601958,-0.015143,0.595067,0.53227
1680001707004,1181695355712418,0.601982,-0.015136,0.595048,0.532264
1680001707005,1181695358214571,0.602003,-0.015128,0.595031,0.53226
1680001707008,1181695360716735,0.602019,-0.015118,0.595016,0.532257
1680001707009,1181695363219120,0.602038,-0.015106,0.594998,0.532256
1680001707011,1181695365721274,0.602037,-0.015994,0.594182,0.533143
1680001707014,1181695368223428,0.602059,-0.015966,0.594139,0.533167
1680001707021,1181695370725581,0.602078,-0.015952,0.594114,0.533175
1680001707023,1181695373227725,0.602096,-0.015943,0.594096,0.533174
1680001707024,1181695375729879,0.602115,-0.015932,0.594075,0.533176
1680001707025,1181695378232110,0.602133,-0.015923,0.594052,0.533182
1680001707027,1181695380734187,0.602148,-0.015914,0.59403,0.53319
1680001707029,1181695383236360,0.602161,-0.015906,0.59401,0.533197
1680001707036,1181695385738590,0.602072,-0.016851,0.593237,0.534128
1680001707037,1181695388240744,0.602076,-0.016857,0.593216,0.534148
1680001707038,1181695390742821,0.60209,-0.016855,0.593191,0.534159
1680001707040,1181695393245029,0.602105,-0.016852,0.593169,0.534167
1680001707041,1181695395747260,0.602125,-0.016846,0.593143,0.534173
1680001707043,1181695398249414,0.602141,-0.016837,0.593119,0.534183
1680001707047,1181695400751568,0.602162,-0.016834,0.593087,0.534195
1680001707051,1181695403253731,0.602092,-0.016906,0.59314,0.534211
1680001707052,1181695405755885,0.602111,-0.016917,0.593108,0.534226
1680001707053,1181695408258039,0.602141,-0.01692,0.593064,0.534241
1680001707056,1181695410760424,0.602171,-0.016923,0.593018,0.534258
1680001707059,1181695413262558,0.602203,-0.016928,0.59297,0.534275
