system_ts_ms, sensor_ts_ns, accX, accY, accZ
1680000639055,1180627394928056,3.1740003,2.8650002,9.13395
1680000639055,1180627397429979,3.0250502,2.841,8.952001
1680000639055,1180627399932056,2.70405,2.71005,8.73705
1680000639056,1180627402433979,2.63205,2.676,8.734051
1680000639056,1180627404936056,2.6110501,2.67105,8.7289505
1680000639057,1180627407438201,2.56995,2.66205,8.72505
1680000639057,1180627409940047,2.568,2.607,8.75805
1680000639066,1180627412441970,2.60595,2.8150501,8.851951
1680000639066,1180627414944047,2.7210002,2.8630502,9.012
1680000639066,1180627417445965,2.7930002,3.0949502,9.07905
1680000639067,1180627419948042,3.01605,3.14295,9.213
1680000639070,1180627422450196,3.2599502,3.41595,9.06
1680000639070,1180627424952119,3.3100502,3.4759502,9.09795
1680000639072,1180627427454177,3.3409503,3.49005,9.12705
1680000639076,1180627429956023,3.3720002,3.5020502,9.049951
1680000639078,1180627432457946,3.384,3.62505,9.024
1680000639080,1180627434960023,3.2719502,3.5740502,8.991
1680000639086,1180627437461936,3.183,3.41595,8.940001
1680000639086,1180627439964090,3.2070003,3.486,9.036
1680000639087,1180627442466167,3.0370502,3.5530503,8.82495
1680000639089,1180627444968013,2.8909502,3.3750002,8.96205
1680000639092,1180627447469936,2.8549502,3.3319502,8.896951
1680000639094,1180627449972075,2.7160501,3.1219501,9.010051
1680000639098,1180627452473921,2.6440501,3.0210001,9.285001
1680000639102,1180627454976075,2.70705,2.9179502,9.208051
1680000639102,1180627457477921,2.6800501,2.8920002,9.168
1680000639104,1180627459980075,2.8500001,2.9989502,8.991
1680000639107,1180627462481926,2.8860002,3.01605,9.07695
1680000639109,1180627464984080,2.90505,3.0229502,8.908951
1680000639113,1180627467486157,2.8930502,3.1050003,9.010051
1680000639118,1180627469988085,3.08295,3.3079503,9.02595
1680000639118,1180627472489931,2.9890501,3.2050502,9.06705
1680000639121,1180627474992008,3.1039503,3.25305,9.004951
1680000639123,1180627477493931,2.93895,3.2080503,8.92605
1680000639126,1180627479996008,3.04395,3.2920501,8.923051
1680000639127,1180627482498181,3.0010502,3.213,9.08205
1680000639129,1180627485000104,3.0319502,3.2770503,8.964001
