system_ts_ms, sensor_ts_ns, accX, accY, accZ
1679997304211,1177292565661786,4.6129503,5.7780004,6.9160504
1679997304212,1177292568163709,4.5940504,5.77995,6.9360003
1679997304215,1177292570665786,4.6320004,5.88105,6.94995
1679997304217,1177292573167709,4.5870004,5.7130504,6.9240003
1679997304221,1177292575669863,4.5529504,5.73705,6.9330006
1679997304231,1177292578171940,4.5820503,5.775,7.0000505
1679997304231,1177292580673838,4.59105,5.61705,7.08195
1679997304231,1177292583175915,4.6320004,5.6989503,7.0030503
1679997304232,1177292585677838,4.5820503,5.6200504,6.9259505
1679997304233,1177292588179915,4.6129503,5.622,6.9310503
1679997304236,1177292590681838,4.57695,5.6080503,6.9739504
1679997304237,1177292593184016,4.6270504,5.5789504,6.86595
1679997304242,1177292595686093,4.668,5.61705,6.83295
1679997304242,1177292598188016,4.63005,5.517,6.945
1679997304245,1177292600690170,4.6470003,5.63205,6.7249503
1679997304247,1177292603192016,4.6200004,5.5860004,7.00995
1679997304250,1177292605694078,4.6849504,5.5290003,6.80595
1679997304253,1177292608196001,4.6129503,5.68905,6.8590503
1679997304255,1177292610698386,4.776,5.64405,6.9210005
1679997304262,1177292613200232,4.78305,5.57205,6.9670506
1679997304262,1177292615702155,4.70205,5.6530504,6.8610005
1679997304263,1177292618204309,4.7779503,5.66295,6.7780504
1679997304266,1177292620706386,4.63695,5.6910005,6.8830504
1679997304268,1177292623208232,4.7380505,5.6790004,6.95205
1679997304270,1177292625710391,4.73505,5.7390003,6.9670506
1679997304277,1177292628212544,4.74195,5.7390003,7.0219502
1679997304279,1177292630714467,4.6729503,5.802,6.9360003
1679997304280,1177292633216314,4.6200004,5.742,7.08405
1679997304280,1177292635718467,4.68195,5.8159504,7.1610003
1679997304283,1177292638220530,4.60605,5.67495,7.11495
1679997304285,1177292640722377,4.6249504,5.7319503,7.14195
1679997304287,1177292643224607,4.68195,5.79195,7.0750504
1679997304292,1177292645726684,4.7400002,5.82105,7.0600505
1679997304293,1177292648228626,4.66305,5.73495,7.0750504
1679997304297,1177292650730473,4.6200004,5.78205,6.9690003
1679997304299,1177292653232626,4.596,5.6530504,7.0600505
1679997304300,1177292655734703,4.5820503,5.71995,7.06995
1679997304303,1177292658236626,4.5199504,5.682,7.11
1679997304309,1177292660738780,4.55595,5.7130504,6.95205
1679997304309,1177292663240857,4.5220504,5.74695,7.2109504
1679997304311,1177292665742780,4.4760003,5.727,6.9739504
1679997304313,1177292668244857,4.6750503,5.71995,7.0410004
1679997304315,1177292670746789,4.59105,5.6790004,7.14405
1679997304317,1177292673248866,4.48395,5.70795,7.1320505
1679997304320,1177292675751020,4.6080003,5.6839504,7.0270505
1679997304326,1177292678252943,4.5360003,5.68695,7.0309505
1679997304327,1177292680755016,4.4599504,5.703,7.0870504
1679997304328,1177292683256939,4.5360003,5.73705,7.0030503
1679997304330,1177292685759016,4.5529504,5.715,6.9930005
1679997304334,1177292688260919,4.5199504,5.7319503,7.0069504
1679997304336,1177292690762996,4.56495,5.622,7.04295
1679997304339,1177292693265150,4.5990005,5.6410503,6.9690003
1679997304343,1177292695767073,4.5750003,5.6989503,6.9240003
1679997304343,1177292698269150,4.5199504,5.79195,6.9310503
1679997304346,1177292700771073,4.57905,5.6959505,6.93795
1679997304348,1177292703273150,4.63905,5.6719503,6.9210005
1679997304350,1177292705775073,4.6579504,5.68905,7.005
1679997304352,1177292708277150,4.63005,5.73705,6.885
1679997304355,1177292710779304,4.64895,5.68905,6.9360003
1679997304360,1177292713281222,4.6200004,5.67495,7.00995
1679997304360,1177292715783299,4.6320004,5.7060003,6.912
1679997304363,1177292718285222,4.68195,5.6839504,7.0219502
1679997304365,1177292720787299,4.7569504,5.67,6.9910502
1679997304368,1177292723289222,4.6579504,5.6839504,7.0270505
1679997304372,1177292725791352,4.7260504,5.7109504,7.1509504
1679997304377,1177292728293429,4.75005,5.5999503,6.9619503
1679997304378,1177292730795352,4.7299504,5.71995,7.08195
1679997304379,1177292733297434,4.75395,5.6959505,7.0960503
1679997304380,1177292735799588,4.788,5.6119504,7.15605
1679997304382,1177292738301511,4.75005,5.6839504,7.1850004
1679997304386,1177292740803588,4.761,5.73705,7.182
1679997304388,1177292743305511,4.73295,5.67705,7.2780004
1679997304392,1177292745807588,4.80705,5.682,7.1800504
1679997304393,1177292748309511,4.7730002,5.715,7.1179504
1679997304395,1177292750811588,4.821,5.67,7.221
1679997304397,1177292753313741,4.809,5.73705,7.0960503
1679997304400,1177292755815684,4.8360004,5.6410503,7.3159504
1679997304403,1177292758317760,4.88805,5.71995,7.0669503
1679997304405,1177292760819684,4.87395,5.73705,7.0459504
1679997304412,1177292763321731,4.965,5.754,7.0309505
1679997304413,1177292765823655,4.905,5.703,6.9979506
1679997304414,1177292768325731,4.86705,5.6790004,7.0339503
1679997304416,1177292770827885,4.965,5.61705,7.11
1679997304418,1177292773329808,4.84095,5.6940002,7.05105
1679997304420,1177292775831905,4.90005,5.6410503,7.05105
1679997304426,1177292778333828,4.96995,5.703,7.1010003
1679997304427,1177292780835905,4.9290004,5.67,6.9810004
1679997304428,1177292783337828,4.86,5.68695,7.0669503
1679997304430,1177292785839967,4.98705,5.58795,6.97905
1679997304433,1177292788342121,4.872,5.5090504,7.0000505
1679997304436,1177292790843967,4.932,5.53305,7.0270505
1679997304437,1177292793346044,4.81395,5.4900002,7.1130004
1679997304445,1177292795848198,4.8019505,5.50005,6.95205
1679997304445,1177292798350044,4.88805,5.4229503,7.0150504
1679997304447,1177292800851967,4.8450003,5.517,7.0290003
1679997304449,1177292803354121,4.8310504,5.478,7.0600505
1679997304451,1177292805856285,4.7520003,5.58405,7.0219502
1679997304453,1177292808358131,4.7380505,5.48295,6.9480004
1679997304455,1177292810860208,4.7059503,5.55495,6.8929505
1679997304461,1177292813362362,4.74195,5.55495,6.9739504
1679997304462,1177292815864285,4.7470503,5.5669503,7.00995
1679997304463,1177292818366357,4.7140503,5.55,6.9739504
1679997304466,1177292820868280,4.70895,5.6839504,7.0069504
1679997304468,1177292823370434,4.66305,5.57595,6.9619503
1679997304470,1177292825872511,4.728,5.5909505,7.0909505
1679997304476,1177292828374352,4.6660504,5.6410503,7.1250005
1679997304476,1177292830876506,4.63005,5.6340003,7.0870504
1679997304478,1177292833378429,4.66995,5.5999503,6.94005
1679997304480,1177292835880583,4.63005,5.5690503,6.93795
1679997304485,1177292838382424,4.6540504,5.6269503,6.9240003
1679997304488,1177292840884578,4.6990504,5.58795,7.0530005
1679997304494,1177292843687347,4.6920004,5.5789504,7.005
1679997304495,1177292845888578,4.63695,5.6239505,6.9670506
1679997304495,1177292848390655,4.611,5.5480504,7.0669503
1679997304496,1177292850892560,4.64895,5.6239505,7.11495
1679997304498,1177292853394714,4.6969504,5.622,7.05105
1679997304500,1177292855896791,4.66995,5.598,6.9619503
1679997304503,1177292858398714,4.5990005,5.5960503,7.0219502
1679997304509,1177292860900786,4.5529504,5.60505,7.0069504
