system_ts_ms, sensor_ts_ns, graX, graY, graZ
1679997304211,1177292565661786,4.509,5.534,6.723
1679997304213,1177292568163709,4.509,5.533,6.723
1679997304215,1177292570665786,4.508,5.537,6.722
1679997304217,1177292573167709,4.508,5.536,6.722
1679997304222,1177292575669863,4.508,5.536,6.722
1679997304231,1177292578171940,4.508,5.535,6.723
1679997304231,1177292580673838,4.508,5.535,6.723
1679997304232,1177292583175915,4.509,5.534,6.723
1679997304232,1177292585677838,4.509,5.533,6.724
1679997304233,1177292588179915,4.509,5.531,6.726
1679997304236,1177292590681838,4.509,5.53,6.726
1679997304237,1177292593184016,4.509,5.529,6.726
1679997304242,1177292595686093,4.51,5.529,6.727
1679997304243,1177292598188016,4.51,5.528,6.727
1679997304245,1177292600690170,4.511,5.527,6.727
1679997304247,1177292603192001,4.511,5.526,6.728
1679997304251,1177292605694078,4.515,5.523,6.728
1679997304253,1177292608196001,4.516,5.522,6.728
1679997304255,1177292610698386,4.516,5.522,6.728
1679997304262,1177292613200232,4.517,5.521,6.728
1679997304262,1177292615702155,4.517,5.521,6.729
1679997304265,1177292618204309,4.517,5.52,6.729
1679997304267,1177292620706386,4.517,5.52,6.729
1679997304268,1177292623208232,4.519,5.518,6.729
1679997304270,1177292625710391,4.519,5.518,6.73
1679997304279,1177292628212544,4.519,5.517,6.73
1679997304280,1177292630714467,4.518,5.517,6.731
1679997304280,1177292633216314,4.518,5.517,6.731
1679997304282,1177292635718453,4.518,5.517,6.731
1679997304283,1177292638220530,4.517,5.516,6.732
1679997304286,1177292640722377,4.514,5.515,6.736
1679997304288,1177292643224607,4.513,5.514,6.736
1679997304293,1177292645726684,4.512,5.514,6.737
1679997304293,1177292648228626,4.512,5.514,6.737
1679997304298,1177292650730473,4.512,5.514,6.738
1679997304299,1177292653232626,4.511,5.513,6.738
1679997304301,1177292655734703,4.511,5.513,6.739
1679997304303,1177292658236626,4.505,5.512,6.744
1679997304309,1177292660738780,4.504,5.511,6.745
1679997304309,1177292663240857,4.504,5.511,6.745
1679997304311,1177292665742780,4.504,5.511,6.745
1679997304313,1177292668244866,4.504,5.51,6.746
1679997304316,1177292670746789,4.504,5.51,6.746
1679997304318,1177292673248866,4.504,5.51,6.747
1679997304322,1177292675751020,4.502,5.509,6.748
1679997304327,1177292678252939,4.502,5.508,6.749
1679997304327,1177292680755016,4.502,5.508,6.749
1679997304328,1177292683256939,4.502,5.507,6.75
1679997304330,1177292685759016,4.502,5.507,6.75
1679997304335,1177292688260919,4.502,5.506,6.75
1679997304337,1177292690762996,4.503,5.506,6.75
1679997304343,1177292693265150,4.502,5.505,6.752
1679997304343,1177292695767073,4.503,5.504,6.752
1679997304343,1177292698269150,4.503,5.503,6.752
1679997304348,1177292700771073,4.504,5.503,6.752
1679997304349,1177292703273150,4.504,5.502,6.752
1679997304350,1177292705775073,4.505,5.502,6.752
1679997304353,1177292708277150,4.505,5.501,6.752
1679997304356,1177292710779304,4.506,5.501,6.752
1679997304360,1177292713281222,4.507,5.501,6.752
1679997304361,1177292715783299,4.507,5.5,6.752
1679997304363,1177292718285222,4.508,5.5,6.752
1679997304366,1177292720787299,4.509,5.499,6.752
1679997304368,1177292723289198,4.509,5.499,6.751
1679997304377,1177292725791352,4.51,5.498,6.751
1679997304377,1177292728293429,4.514,5.496,6.751
1679997304379,1177292730795352,4.515,5.495,6.751
1679997304379,1177292733297434,4.516,5.495,6.751
1679997304380,1177292735799588,4.516,5.494,6.751
1679997304383,1177292738301511,4.517,5.494,6.75
1679997304387,1177292740803588,4.518,5.494,6.75
1679997304388,1177292743305511,4.519,5.493,6.75
1679997304393,1177292745807588,4.52,5.489,6.752
1679997304394,1177292748309511,4.521,5.489,6.752
1679997304396,1177292750811588,4.522,5.489,6.751
1679997304398,1177292753313741,4.523,5.489,6.751
1679997304400,1177292755815684,4.524,5.488,6.75
1679997304403,1177292758317760,4.525,5.488,6.75
1679997304411,1177292760819684,4.525,5.488,6.749
1679997304412,1177292763321731,4.532,5.487,6.746
1679997304413,1177292765823655,4.533,5.487,6.745
1679997304414,1177292768325731,4.534,5.487,6.745
1679997304416,1177292770827885,4.534,5.487,6.745
1679997304419,1177292773329808,4.535,5.487,6.744
1679997304421,1177292775831905,4.535,5.487,6.744
1679997304426,1177292778333828,4.535,5.487,6.744
1679997304427,1177292780835905,4.541,5.485,6.742
1679997304429,1177292783337828,4.541,5.485,6.741
1679997304431,1177292785839967,4.541,5.485,6.742
1679997304433,1177292788342121,4.54,5.485,6.742
1679997304436,1177292790843967,4.539,5.486,6.742
1679997304438,1177292793346044,4.539,5.486,6.742
1679997304445,1177292795848198,4.538,5.486,6.743
1679997304446,1177292798350044,4.543,5.479,6.745
1679997304448,1177292800851967,4.543,5.478,6.746
1679997304450,1177292803354121,4.542,5.478,6.746
1679997304452,1177292805856285,4.541,5.479,6.747
1679997304453,1177292808358131,4.539,5.479,6.748
1679997304456,1177292810860208,4.538,5.479,6.748
1679997304462,1177292813362362,4.537,5.48,6.749
1679997304462,1177292815864285,4.538,5.477,6.75
1679997304463,1177292818366357,4.537,5.477,6.751
1679997304467,1177292820868280,4.536,5.477,6.752
1679997304469,1177292823370434,4.535,5.477,6.752
1679997304471,1177292825872511,4.534,5.477,6.753
1679997304476,1177292828374352,4.533,5.477,6.753
1679997304477,1177292830876506,4.532,5.478,6.754
1679997304478,1177292833378429,4.531,5.477,6.754
1679997304481,1177292835880583,4.531,5.477,6.755
1679997304486,1177292838382424,4.53,5.477,6.755
1679997304489,1177292840884578,4.529,5.478,6.755
1679997304495,1177292843687347,4.529,5.478,6.756
1679997304495,1177292845888578,4.528,5.478,6.756
1679997304496,1177292848390655,4.528,5.478,6.756
1679997304496,1177292850892560,4.526,5.476,6.759
1679997304499,1177292853394714,4.525,5.475,6.76
1679997304501,1177292855896791,4.525,5.476,6.76
1679997304503,1177292858398714,4.524,5.476,6.76
1679997304509,1177292860900786,4.524,5.476,6.76
1679997304510,1177292863402709,4.524,5.476,6.76
1679997304511,1177292865904786,4.523,5.476,6.761
1679997304513,1177292868406939,4.519,5.477,6.763
1679997304516,1177292870908863,4.518,5.477,6.764
1679997304518,1177292873410930,4.518,5.477,6.764
1679997304523,1177292875912853,4.517,5.477,6.764
1679997304527,1177292878414930,4.517,5.478,6.764
1679997304527,1177292880916853,4.516,5.478,6.764
1679997304529,1177292883418925,4.516,5.478,6.764
1679997304531,1177292885921078,4.513,5.479,6.765
1679997304534,1177292888423001,4.513,5.479,6.765
1679997304536,1177292890925078,4.512,5.48,6.765
1679997304538,1177292893427001,4.512,5.48,6.765
1679997304543,1177292895929088,4.511,5.48,6.765
1679997304543,1177292898431011,4.511,5.481,6.765
1679997304548,1177292900933088,4.511,5.481,6.765
1679997304549,1177292903435242,4.507,5.482,6.767
1679997304550,1177292905937193,4.506,5.483,6.767
1679997304553,1177292908439270,4.506,5.483,6.766
1679997304556,1177292910941193,4.506,5.484,6.766
1679997304560,1177292913443270,4.506,5.484,6.766
1679997304561,1177292915945438,4.506,5.485,6.765
1679997304563,1177292918447361,4.505,5.486,6.765
1679997304567,1177292920949438,4.506,5.489,6.762
