system_ts_ms, sensor_ts_ns, gyrX, gyrY, gyrZ
1679997304211,1177292565661786,-0.0169125,-0.0105875,0.0114124995
1679997304212,1177292568163709,-0.0218625,-0.0125124995,0.0103124995
1679997304215,1177292570665786,-0.0218625,-0.0125124995,0.00935
1679997304217,1177292573167709,-0.028875,-0.009625,0.007425
1679997304221,1177292575669863,-0.0298375,-0.009625,0.00935
1679997304231,1177292578171940,-0.0309375,-0.008525,0.006325
1679997304231,1177292580673838,-0.0309375,-0.0066,0.0053625
1679997304231,1177292583175915,-0.0328625,-0.0075625,0.0103124995
1679997304232,1177292585677838,-0.036849998,-0.008525,0.0114124995
1679997304233,1177292588179915,-0.0328625,-0.0075625,0.00935
1679997304236,1177292590681838,-0.033825,-0.009625,0.0144375
1679997304237,1177292593184016,-0.0328625,-0.0075625,0.0163625
1679997304242,1177292595686093,-0.033825,-0.009625,0.0144375
1679997304243,1177292598188016,-0.0358875,-0.0125124995,0.0144375
1679997304245,1177292600690170,-0.0319,-0.01155,0.0163625
1679997304247,1177292603192016,-0.0319,-0.014575,0.0144375
1679997304250,1177292605694078,-0.028875,-0.0125124995,0.0133375
1679997304253,1177292608196001,-0.028875,-0.013612499,0.012375
1679997304255,1177292610698386,-0.028875,-0.0075625,0.0133375
1679997304262,1177292613200232,-0.0279125,-0.0045375,0.00935
1679997304262,1177292615702155,-0.0248875,-0.0055,0.0053625
1679997304263,1177292618204309,-0.0248875,-0.0026125,0.0034375
1679997304267,1177292620706386,-0.0248875,-0.0015125,0.0044
1679997304268,1177292623208232,-0.022824999,0.002475,-6.875E-4
1679997304270,1177292625710391,-0.023924999,0.0044,-0.004675
1679997304279,1177292628212544,-0.0188375,0.012375,-0.003575
1679997304280,1177292630714467,-0.0188375,0.0174625,-0.003575
1679997304280,1177292633216314,-0.0158125,0.0174625,-0.00165
1679997304280,1177292635718453,-0.0138875,0.018424999,-0.00165
1679997304283,1177292638220530,-0.011825,0.018424999,4.125E-4
1679997304286,1177292640722377,-0.0138875,0.0204875,0.001375
1679997304287,1177292643224607,-0.0138875,0.0264,0.001375
1679997304293,1177292645726684,-0.011825,0.0264,4.125E-4
1679997304293,1177292648228626,-0.0138875,0.024475,-6.875E-4
1679997304298,1177292650730473,-0.0158125,0.0264,0.001375
1679997304299,1177292653232626,-0.0138875,0.0275,0.001375
1679997304301,1177292655734703,-0.01485,0.02145,0.0044
1679997304303,1177292658236626,-0.0138875,0.0204875,0.0034375
1679997304309,1177292660738780,-0.0169125,0.018424999,0.0044
1679997304309,1177292663240857,-0.0138875,0.0174625,0.0044
1679997304311,1177292665742780,-0.017875,0.012375,0.0023375
1679997304313,1177292668244866,-0.0199375,0.007425,0.0034375
1679997304316,1177292670746789,-0.0209,0.0094875,0.001375
1679997304318,1177292673248866,-0.022824999,0.0064625,0.0034375
1679997304322,1177292675751020,-0.02585,-5.5E-4,0.0034375
1679997304326,1177292678252943,-0.0248875,-0.0026125,0.0034375
1679997304327,1177292680755016,-0.0268125,0.001375,4.125E-4
1679997304328,1177292683256939,-0.028875,-0.0055,0.0034375
1679997304330,1177292685759016,-0.0309375,-0.0125124995,0.0023375
1679997304334,1177292688260919,-0.0309375,-0.014575,0.0034375
1679997304337,1177292690762996,-0.028875,-0.0165,0.0044
1679997304342,1177292693265150,-0.0298375,-0.025575,0.0023375
1679997304343,1177292695767073,-0.0328625,-0.0275,0.0023375
1679997304343,1177292698269150,-0.033825,-0.0275,0.001375
1679997304347,1177292700771073,-0.0309375,-0.0295625,0.0034375
1679997304348,1177292703273150,-0.0309375,-0.0325875,0.0023375
1679997304350,1177292705775073,-0.0298375,-0.0325875,-6.875E-4
1679997304353,1177292708277150,-0.0328625,-0.0325875,-0.00165
1679997304356,1177292710779304,-0.0298375,-0.03355,-6.875E-4
1679997304360,1177292713281222,-0.0298375,-0.0345125,4.125E-4
1679997304360,1177292715783299,-0.0298375,-0.036575,0.0023375
