system_ts_ms, sensor_ts_ns, linX, linY, linZ
1679997304211,1177292565661786,0.094,0.24,0.181
1679997304213,1177292568163709,0.08,0.241,0.208
1679997304215,1177292570665786,0.122,0.333,0.224
1679997304217,1177292573167709,0.068,0.17,0.196
1679997304222,1177292575669863,0.04,0.197,0.21
1679997304231,1177292578171940,0.067,0.225,0.264
1679997304231,1177292580673838,0.081,0.076,0.345
1679997304232,1177292583175915,0.121,0.158,0.277
1679997304232,1177292585677838,0.067,0.077,0.194
1679997304233,1177292588179915,0.094,0.08,0.193
1679997304236,1177292590681838,0.066,0.067,0.247
1679997304237,1177292593184016,0.107,0.04,0.137
1679997304242,1177292595686093,0.147,0.082,0.096
1679997304243,1177292598188016,0.106,-0.012,0.205
1679997304245,1177292600690170,0.133,0.097,-0.013
1679997304247,1177292603192001,0.105,0.057,0.272
1679997304251,1177292605694078,0.156,-0.007,0.068
1679997304253,1177292608196001,0.087,0.156,0.122
1679997304255,1177292610698386,0.25,0.116,0.19
1679997304262,1177292613200232,0.263,0.049,0.231
1679997304263,1177292615702155,0.181,0.131,0.121
1679997304265,1177292618204309,0.249,0.131,0.039
1679997304267,1177292620706386,0.113,0.159,0.148
1679997304268,1177292623208232,0.206,0.147,0.216
1679997304270,1177292625710391,0.206,0.216,0.229
1679997304279,1177292628212544,0.22,0.216,0.283
1679997304280,1177292630714467,0.152,0.271,0.201
1679997304280,1177292633216314,0.098,0.216,0.351
1679997304282,1177292635718453,0.153,0.298,0.418
1679997304283,1177292638220530,0.085,0.149,0.377
1679997304286,1177292640722377,0.103,0.205,0.4
1679997304288,1177292643224607,0.158,0.273,0.331
1679997304293,1177292645726684,0.226,0.301,0.317
1679997304293,1177292648228626,0.145,0.219,0.33
1679997304298,1177292650730473,0.105,0.261,0.221
1679997304299,1177292653232626,0.078,0.138,0.316
1679997304301,1177292655734703,0.065,0.193,0.329
1679997304303,1177292658236626,0.002,0.167,0.365
1679997304309,1177292660738780,0.044,0.195,0.201
1679997304310,1177292663240857,0.017,0.222,0.459
1679997304311,1177292665742780,-0.036,0.209,0.227
1679997304313,1177292668244866,0.167,0.196,0.281
1679997304316,1177292670746789,0.085,0.155,0.39
1679997304318,1177292673248866,-0.022,0.196,0.376
1679997304322,1177292675751020,0.101,0.17,0.265
1679997304327,1177292678252939,0.033,0.171,0.278
1679997304327,1177292680755016,-0.048,0.185,0.332
1679997304328,1177292683256939,0.033,0.226,0.25
1679997304330,1177292685759016,0.046,0.199,0.236
1679997304335,1177292688260919,0.005,0.213,0.25
1679997304337,1177292690762996,0.059,0.105,0.29
1679997304343,1177292693265150,0.087,0.133,0.207
1679997304343,1177292695767073,0.059,0.188,0.166
1679997304343,1177292698269150,0.004,0.284,0.166
1679997304348,1177292700771073,0.072,0.189,0.18
1679997304349,1177292703273150,0.126,0.163,0.166
1679997304350,1177292705775073,0.139,0.177,0.248
1679997304353,1177292708277150,0.111,0.232,0.125
1679997304356,1177292710779304,0.138,0.177,0.18
1679997304360,1177292713281222,0.11,0.164,0.248
1679997304361,1177292715783299,0.123,0.192,0.153
1679997304363,1177292718285222,0.163,0.179,0.262
1679997304366,1177292720787299,0.244,0.166,0.235
1679997304368,1177292723289198,0.134,0.18,0.262
1679997304377,1177292725791352,0.201,0.208,0.398
1679997304378,1177292728293429,0.225,0.101,0.208
1679997304379,1177292730795352,0.21,0.211,0.317
1679997304379,1177292733297434,0.237,0.198,0.331
1679997304381,1177292735799588,0.263,0.116,0.399
1679997304383,1177292738301511,0.222,0.185,0.427
1679997304387,1177292740803588,0.235,0.24,0.427
1679997304388,1177292743305511,0.207,0.172,0.522
1679997304393,1177292745807588,0.273,0.189,0.425
1679997304394,1177292748309511,0.245,0.217,0.357
1679997304396,1177292750811588,0.285,0.176,0.467
1679997304398,1177292753313741,0.284,0.245,0.331
1679997304400,1177292755815684,0.31,0.149,0.563
1679997304403,1177292758317760,0.351,0.218,0.304
1679997304411,1177292760819684,0.336,0.245,0.291
1679997304412,1177292763321731,0.425,0.26,0.281
1679997304413,1177292765823655,0.369,0.206,0.241
1679997304414,1177292768325731,0.328,0.178,0.282
1679997304417,1177292770827885,0.422,0.124,0.364
1679997304419,1177292773329808,0.3,0.206,0.296
1679997304421,1177292775831905,0.354,0.151,0.297
1679997304427,1177292778333828,0.422,0.205,0.351
1679997304427,1177292780835905,0.375,0.18,0.231
1679997304429,1177292783337828,0.307,0.194,0.313
1679997304431,1177292785839967,0.443,0.098,0.231
1679997304433,1177292788342121,0.321,0.016,0.244
1679997304436,1177292790843967,0.39,0.043,0.271
1679997304438,1177292793346044,0.268,0.002,0.367
1679997304445,1177292795848198,0.255,0.002,0.203
1679997304446,1177292798350044,0.332,-0.058,0.268
1679997304448,1177292800851967,0.291,0.037,0.281
1679997304450,1177292803354121,0.279,-0.003,0.308
1679997304452,1177292805856285,0.198,0.091,0.267
1679997304453,1177292808358131,0.186,-0.003,0.198
1679997304456,1177292810860208,0.16,0.063,0.143
1679997304462,1177292813362362,0.202,0.063,0.224
1679997304463,1177292815864285,0.201,0.08,0.249
1679997304463,1177292818366357,0.175,0.066,0.222
1679997304467,1177292820868280,0.162,0.202,0.248
1679997304469,1177292823370434,0.122,0.093,0.207
1679997304471,1177292825872511,0.192,0.106,0.329
1679997304476,1177292828374352,0.124,0.16,0.369
1679997304477,1177292830876506,0.084,0.147,0.328
1679997304478,1177292833378429,0.126,0.12,0.177
1679997304481,1177292835880583,0.086,0.079,0.177
1679997304486,1177292838382424,0.113,0.147,0.163
1679997304489,1177292840884578,0.155,0.106,0.285
1679997304495,1177292843687347,0.156,0.092,0.244
1679997304495,1177292845888578,0.101,0.133,0.203
1679997304496,1177292848390655,0.075,0.065,0.298
1679997304496,1177292850892560,0.118,0.135,0.349
1679997304499,1177292853394714,0.159,0.135,0.281
1679997304501,1177292855896791,0.132,0.121,0.199
1679997304503,1177292858398714,0.065,0.108,0.253
1679997304509,1177292860900786,0.024,0.121,0.24
1679997304510,1177292863402709,0.093,0.189,0.171
1679997304511,1177292865904786,0.12,0.107,0.212
1679997304513,1177292868406939,0.002,0.148,0.25
1679997304516,1177292870908863,0.044,0.188,0.195
1679997304518,1177292873410930,0.072,0.202,0.195
1679997304523,1177292875912853,0.058,0.16,0.154
1679997304527,1177292878414930,0.113,0.187,0.25
1679997304528,1177292880916853,0.046,0.146,0.141
1679997304530,1177292883418925,0.059,0.105,0.182
1679997304532,1177292885921078,0.062,0.173,0.235
1679997304534,1177292888423001,0.104,0.159,0.167
1679997304536,1177292890925078,0.131,0.145,0.275
1679997304538,1177292893427001,0.05,0.158,0.262
1679997304543,1177292895929088,0.105,0.185,0.221
1679997304543,1177292898431011,0.105,0.225,0.18
1679997304548,1177292900933088,0.037,0.116,0.167
1679997304549,1177292903435242,-0.026,0.101,0.165
1679997304551,1177292905937193,0.083,0.087,0.083
1679997304553,1177292908439270,0.042,0.114,0.029
1679997304556,1177292910941193,0.11,0.249,0.207
1679997304560,1177292913443270,0.111,0.153,0.003
1679997304562,1177292915945438,0.084,0.194,0.126
1679997304564,1177292918447361,0.097,0.234,0.14
1679997304567,1177292920949438,0.096,0.162,0.034
1679997304568,1177292923451284,0.178,0.189,0.062
1679997304571,1177292925953438,0.205,0.079,0.158
1679997304576,1177292928455603,0.137,0.119,0.023
1679997304578,1177292930957526,0.205,0.241,0.051
1679997304579,1177292933459603,0.177,0.24,0.065
1679997304582,1177292935961526,0.286,0.253,0.107
1679997304583,1177292938463622,0.215,0.197,0.11
1679997304587,1177292940965545,0.2,0.196,0.125
1679997304589,1177292943467622,0.241,0.236,0.112
1679997304593,1177292945969776,0.268,0.276,0.181
1679997304594,1177292948471675,0.308,0.221,0.168
1679997304599,1177292950973752,0.226,0.179,0.156
1679997304600,1177292953475675,0.267,0.206,0.211
1679997304601,1177292955977752,0.276,0.232,0.161
1679997304603,1177292958479680,0.207,0.244,0.08
1679997304606,1177292960981757,0.125,0.203,0.122
1679997304608,1177292963483911,0.234,0.284,0.136
1679997304611,1177292965985834,0.152,0.215,0.055
1679997304613,1177292968487902,0.166,0.31,0.178
1679997304617,1177292970989825,0.111,0.336,0.056
1679997304619,1177292973491902,0.14,0.371,0.209
1679997304621,1177292975993825,0.113,0.193,0.251
1679997304624,1177292978495969,0.086,0.247,0.265
1679997304629,1177292980998046,0.086,0.273,0.225
1679997304629,1177292983499969,0.155,0.327,0.089
1679997304632,1177292986002046,0.059,0.395,0.28
1679997304635,1177292988503935,0.1,0.299,0.172
1679997304637,1177292991006012,0.078,0.442,0.296
1679997304639,1177292993507935,0.093,0.345,0.174
1679997304641,1177292996010089,0.011,0.386,0.283
1679997304643,1177292998512166,0.025,0.48,0.243
1679997304647,1177293001014084,0.025,0.425,0.339
1679997304648,1177293003516161,0.052,0.384,0.162
1679997304651,1177293006018084,0.093,0.411,0.108
1679997304654,1177293008520161,0.07,0.431,0.207
1679997304657,1177293011022089,0.152,0.402,0.139
1679997304658,1177293013524243,0.124,0.361,0.194
1679997304661,1177293016026319,0.083,0.469,0.236
1679997304664,1177293018528473,0.137,0.428,0.264
1679997304667,1177293021030324,0.137,0.373,0.264
