system_ts_ms, sensor_ts_ns, magX, magY, magZ
1679997304213,1177292569185559,6.7875004,-24.187502,-27.843752
1679997304231,1177292579159578,7.2000003,-24.0,-27.712502
1679997304234,1177292589135783,6.8812504,-23.400002,-27.843752
1679997304244,1177292599130268,6.6000004,-22.800001,-27.900002
1679997304253,1177292609124733,6.6000004,-22.800001,-28.143751
1679997304265,1177292619154963,6.6000004,-22.800001,-28.312502
1679997304279,1177292629181525,6.4125004,-22.743752,-28.25625
1679997304284,1177292639191299,6.3,-22.6875,-28.2
1679997304294,1177292649193471,5.86875,-22.9125,-28.2
1679997304304,1177292659195605,5.5125003,-23.1,-28.2
1679997304314,1177292669197748,5.5875,-23.5125,-28.425001
1679997304327,1177292679199821,5.7000003,-23.8875,-28.612501
1679997304335,1177292689194320,5.7562504,-24.0,-28.425001
1679997304344,1177292699188877,5.8125,-24.187502,-28.2
1679997304354,1177292709183357,6.1125,-24.187502,-28.312502
1679997304364,1177292719177890,6.4125004,-24.187502,-28.500002
1679997304378,1177292729180404,6.6562505,-24.243752,-28.425001
1679997304384,1177292739182485,6.8812504,-24.300001,-28.312502
1679997304394,1177292749184639,7.0125003,-24.300001,-28.2
1679997304404,1177292759179946,7.2000003,-24.300001,-28.0125
1679997304415,1177292769183148,7.0875,-24.4125,-27.843752
1679997304427,1177292779185302,7.0125003,-24.487501,-27.581251
1679997304434,1177292789187421,6.8812504,-24.712502,-27.712502
1679997304446,1177292799197209,6.7125,-24.900002,-27.900002
1679997304454,1177292809168930,6.7875004,-24.6,-27.956251
1679997304464,1177292819171309,6.8812504,-24.300001,-28.0125
1679997304476,1177292829165784,6.7125,-24.112501,-28.143751
1679997304488,1177292839167086,6.6000004,-23.8875,-28.2
1679997304496,1177292849176143,6.7125,-23.34375,-28.800001
1679997304504,1177292859178048,6.8812504,-22.800001,-29.400002
1679997304514,1177292869187812,6.6000004,-22.3125,-29.456251
1679997304527,1177292879174705,6.3,-21.7875,-29.5125
1679997304534,1177292889199238,6.05625,-21.54375,-29.456251
1679997304544,1177292899193805,5.8125,-21.300001,-29.400002
1679997304554,1177292909188352,5.7562504,-21.1875,-29.343752
1679997304565,1177292919199212,5.7000003,-21.0,-29.212502
1679997304577,1177292929195299,5.45625,-21.4125,-28.9125
1679997304585,1177292939197375,5.2125,-21.7875,-28.612501
1679997304594,1177292949194678,5.5125003,-22.2,-28.556252
1679997304604,1177292959157317,5.8125,-22.6875,-28.500002
1679997304614,1177292969162019,5.8125,-22.9125,-28.556252
1679997304624,1177292979131932,5.8125,-23.1,-28.612501
1679997304636,1177292989138821,5.86875,-23.34375,-28.743752
1679997304644,1177292999172801,6.0,-23.587502,-28.800001
1679997304654,1177293009168161,6.1875005,-23.400002,-28.9125
1679997304664,1177293019199954,6.4125004,-23.2875,-29.081251
1679997304675,1177293029202343,6.3562503,-23.1,-28.85625
1679997304685,1177293039183444,6.3,-22.987501,-28.612501
1679997304694,1177293049184929,6.3562503,-22.987501,-28.800001
1679997304704,1177293059182006,6.4125004,-22.987501,-28.9125
1679997304715,1177293069184303,6.3,-23.1,-28.800001
1679997304724,1177293079200284,6.1125,-23.2875,-28.612501
1679997304734,1177293089200034,6.1875005,-23.587502,-28.425001
1679997304744,1177293099206427,6.3,-23.8875,-28.2
1679997304755,1177293109209071,6.1125,-23.8875,-28.500002
1679997304766,1177293119216422,6.0,-23.8875,-28.800001
1679997304774,1177293129216182,6.05625,-23.8875,-28.425001
1679997304786,1177293139214086,6.1125,-23.8875,-28.0125
1679997304795,1177293149200484,6.1875005,-23.587502,-28.0125
1679997304804,1177293159196387,6.3,-23.2875,-28.0125
1679997304815,1177293169191363,5.8125,-22.987501,-28.25625
1679997304824,1177293179154992,5.4,-22.6875,-28.500002
1679997304838,1177293189165059,5.4,-22.6875,-28.143751
1679997304844,1177293199168915,5.4,-22.6875,-27.712502
1679997304854,1177293209145044,4.9875,-22.5,-28.2
1679997304864,1177293219147116,4.6125,-22.3875,-28.612501
1679997304874,1177293229148721,4.9875,-22.743752,-28.800001
1679997304885,1177293239128432,5.4,-23.1,-28.9125
1679997304895,1177293249163980,5.8125,-23.7,-28.743752
1679997304905,1177293259197417,6.3,-24.300001,-28.500002
1679997304915,1177293269158208,6.4875,-24.487501,-28.425001
1679997304924,1177293279162645,6.7125,-24.6,-28.312502
1679997304936,1177293289147025,6.8812504,-25.0125,-27.900002
1679997304944,1177293299112659,7.0125003,-25.3875,-27.4125
1679997304954,1177293309116721,6.7125,-25.312502,-27.4125
1679997304965,1177293319109687,6.4125004,-25.2,-27.4125
1679997304976,1177293329103845,6.1125,-24.487501,-27.4125
1679997304984,1177293339123272,5.8125,-23.7,-27.4125
1679997304994,1177293349135277,5.7562504,-23.8125,-27.54375
1679997305005,1177293359144897,5.7000003,-23.8875,-27.581251
1679997305015,1177293369138114,6.0,-23.7,-27.843752
1679997305024,1177293379123133,6.3,-23.587502,-28.0125
1679997305034,1177293389121603,6.3,-23.587502,-28.143751
1679997305044,1177293399125992,6.3,-23.587502,-28.2
1679997305054,1177293409136593,6.4125004,-23.8875,-28.0125
1679997305065,1177293419133126,6.6000004,-24.187502,-27.900002
1679997305074,1177293429143006,6.7125,-23.925001,-27.900002
1679997305086,1177293439118366,6.8812504,-23.7,-27.900002
1679997305094,1177293449098596,6.8812504,-23.8875,-27.843752
1679997305104,1177293459104028,6.8812504,-24.0,-27.712502
1679997305114,1177293469078571,6.7125,-24.243752,-27.581251
1679997305125,1177293479109657,6.6000004,-24.487501,-27.4125
1679997305135,1177293489143426,6.4125004,-24.487501,-27.4125
1679997305145,1177293499153492,6.3,-24.487501,-27.4125
1679997305154,1177293509160492,6.1125,-24.300001,-27.581251
1679997305165,1177293519153328,6.0,-24.187502,-27.712502
1679997305175,1177293529132107,5.7562504,-23.643751,-28.143751
1679997305185,1177293539141977,5.5125003,-23.1,-28.500002
1679997305195,1177293549150072,5.8125,-23.04375,-28.556252
1679997305204,1177293559143019,6.1125,-22.987501,-28.612501
1679997305215,1177293569130403,6.3,-23.04375,-28.85625
1679997305225,1177293579106571,6.4125004,-23.1,-29.081251
1679997305236,1177293589114864,6.3,-23.400002,-29.212502
1679997305245,1177293599120941,6.1125,-23.7,-29.400002
1679997305254,1177293609122994,5.86875,-24.112501,-29.456251
1679997305265,1177293619119769,5.7000003,-24.487501,-29.5125
1679997305274,1177293629127302,5.7562504,-24.300001,-29.400002
1679997305285,1177293639138277,5.7000003,-24.187502,-29.156252
1679997305295,1177293649149277,5.5875,-24.187502,-28.9125
1679997305305,1177293659156897,5.5125003,-24.187502,-28.743752
1679997305314,1177293669151420,5.5875,-23.7,-28.743752
1679997305325,1177293679129122,5.86875,-23.8875,-28.2
1679997305335,1177293689124853,6.3562503,-24.112501,-27.35625
1679997305345,1177293699131169,6.8812504,-24.187502,-26.75625
1679997305355,1177293709139111,6.95625,-24.243752,-26.7
1679997305366,1177293719142784,7.0125003,-24.4125,-27.000002
1679997305375,1177293729152572,7.0875,-24.54375,-27.300001
1679997305387,1177293739162500,7.2000003,-24.4125,-27.581251
1679997305396,1177293749150577,7.3125005,-24.6,-27.581251
1679997305405,1177293759160442,7.3125005,-24.712502,-27.712502
1679997305416,1177293769170340,7.3125005,-24.7875,-27.900002
1679997305425,1177293779178455,7.2000003,-24.843752,-27.712502
1679997305435,1177293789181665,7.0125003,-24.900002,-27.581251
1679997305445,1177293799186516,7.0125003,-25.0125,-27.056252
1679997305456,1177293809188593,7.0125003,-25.087502,-26.5125
1679997305465,1177293819190746,6.95625,-25.087502,-26.212502
1679997305475,1177293829200424,6.8812504,-25.087502,-25.9125
1679997305485,1177293839201270,6.6000004,-24.900002,-26.081251
1679997305495,1177293849207217,6.3,-24.7875,-26.212502
1679997305505,1177293859202313,6.1875005,-25.087502,-26.456251
1679997305515,1177293869206620,6.1125,-25.3875,-26.7
1679997305525,1177293879205707,6.0,-25.425001,-27.243752
1679997305536,1177293889203923,5.8125,-25.500002,-27.712502
1679997305546,1177293899206163,5.8125,-25.9125,-27.900002
1679997305554,1177293909199004,5.8125,-26.2875,-28.0125
1679997305567,1177293919201581,6.1125,-26.212502,-28.143751
1679997305574,1177293929194580,6.4125004,-26.081251,-28.2
1679997305585,1177293939196864,6.4125004,-25.9125,-28.312502
1679997305595,1177293949199652,6.4125004,-25.687502,-28.500002
1679997305606,1177293959202531,6.6000004,-25.612501,-28.143751
1679997305615,1177293969213046,6.7125,-25.500002,-27.712502
1679997305625,1177293979216415,6.6562505,-25.500002,-27.4125
1679997305634,1177293989209953,6.6000004,-25.500002,-27.112501
1679997305644,1177293999204482,6.4875,-25.612501,-27.112501
1679997305655,1177294009198241,6.4125004,-25.687502,-27.112501
1679997305665,1177294019199947,6.4875,-25.612501,-27.000002
1679997305673,1177294029201841,6.6000004,-25.500002,-26.812502
1679997305687,1177294039199143,6.4875,-25.500002,-26.75625
1679997305693,1177294049181143,6.4125004,-25.500002,-26.7
1679997305703,1177294059175700,6.4125004,-25.312502,-27.000002
1679997305713,1177294069178700,6.4125004,-25.087502,-27.300001
1679997305725,1177294079176358,6.1875005,-25.0125,-27.300001
1679997305735,1177294089200511,6.0,-24.900002,-27.300001
1679997305745,1177294099202679,5.7562504,-25.087502,-27.243752
1679997305753,1177294109205260,5.5125003,-25.2,-27.112501
1679997305765,1177294119207395,5.5875,-25.0125,-27.300001
1679997305773,1177294129208481,5.7000003,-24.7875,-27.4125
1679997305783,1177294139202957,5.8125,-24.900002,-27.581251
1679997305793,1177294149196957,6.0,-25.087502,-27.712502
1679997305804,1177294159191840,6.1125,-25.0125,-27.4125
1679997305813,1177294169186696,6.3,-24.900002,-27.112501
1679997305824,1177294179171094,6.4875,-24.712502,-27.056252
1679997305833,1177294189172810,6.7125,-24.487501,-27.000002
1679997305844,1177294199183805,6.8812504,-24.54375,-27.056252
1679997305853,1177294209177785,7.0125003,-24.6,-27.112501
1679997305864,1177294219197703,7.0875,-24.712502,-26.75625
1679997305879,1177294229199063,7.2000003,-24.7875,-26.400002
1679997305884,1177294239186159,7.2562504,-24.712502,-26.75625
1679997305893,1177294249188851,7.3125005,-24.6,-27.112501
1679997305904,1177294259191014,7.2000003,-24.4125,-27.581251
1679997305915,1177294269193096,7.0125003,-24.187502,-28.0125
1679997305924,1177294279201100,6.7125,-24.187502,-28.143751
1679997305933,1177294289202421,6.4125004,-24.187502,-28.2
1679997305943,1177294299195805,6.1125,-24.0,-28.25625
1679997305955,1177294309190334,5.8125,-23.8875,-28.312502
1679997305964,1177294319184939,6.0,-24.243752,-28.0125
1679997305973,1177294329180261,6.1125,-24.6,-27.712502
1679997305983,1177294339183516,6.3,-25.0125,-27.35625
1679997305993,1177294349186275,6.4125004,-25.3875,-27.000002
1679997306003,1177294359197491,6.3562503,-25.0125,-26.925001
1679997306013,1177294369200029,6.3,-24.6,-26.812502
1679997306025,1177294379200543,6.1125,-24.243752,-27.000002
1679997306034,1177294389202028,6.0,-23.8875,-27.112501
1679997306044,1177294399195412,5.5875,-23.7,-27.4125
1679997306053,1177294409197177,5.2125,-23.587502,-27.712502
1679997306064,1177294419199330,5.1000004,-23.5125,-27.900002
1679997306073,1177294429194633,4.9125004,-23.400002,-28.0125
1679997306084,1177294439196743,5.15625,-23.8125,-27.956251
1679997306093,1177294449190382,5.4,-24.187502,-27.900002
1679997306103,1177294459185929,5.5875,-24.54375,-27.956251
1679997306113,1177294469187655,5.8125,-24.900002,-28.0125
1679997306124,1177294479182208,6.0,-24.7875,-27.843752
1679997306133,1177294489185597,6.1125,-24.6,-27.581251
1679997306144,1177294499187063,6.3,-24.54375,-27.4125
1679997306154,1177294509189134,6.4125004,-24.487501,-27.300001
1679997306164,1177294519199975,6.4125004,-24.4125,-27.300001
1679997306175,1177294529192884,6.4125004,-24.300001,-27.300001
1679997306183,1177294539195114,6.6000004,-24.243752,-27.112501
1679997306193,1177294549189595,6.7125,-24.187502,-27.000002
1679997306204,1177294559183268,6.6562505,-24.112501,-27.056252
1679997306213,1177294569193090,6.6000004,-24.0,-27.112501
1679997306224,1177294579159589,6.4875,-23.925001,-27.000002
1679997306233,1177294589162335,6.4125004,-23.8875,-26.812502
1679997306244,1177294599164190,6.3562503,-23.925001,-27.112501
1679997306253,1177294609170022,6.3,-24.0,-27.4125
1679997306264,1177294619179454,6.1125,-24.300001,-27.300001
1679997306273,1177294629181391,6.0,-24.6,-27.112501
1679997306284,1177294639175463,6.05625,-25.143751,-27.300001
1679997306293,1177294649142932,6.1125,-25.687502,-27.4125
1679997306304,1177294659149234,6.3,-26.04375,-27.54375
1679997306313,1177294669143321,6.4125004,-26.400002,-27.581251
1679997306325,1177294679145421,6.4875,-26.400002,-27.54375
1679997306333,1177294689145051,6.6000004,-26.400002,-27.4125
1679997306343,1177294699155984,6.6562505,-26.5125,-27.4125
1679997306353,1177294709158137,6.7125,-26.587502,-27.4125
1679997306364,1177294719160280,6.7875004,-26.212502,-27.243752
1679997306376,1177294729181189,6.8812504,-25.800001,-27.000002
1679997306384,1177294739190880,6.6562505,-25.743752,-27.056252
1679997306393,1177294749177548,6.4125004,-25.687502,-27.112501
1679997306404,1177294759179687,6.3562503,-25.500002,-27.243752
1679997306413,1177294769181509,6.3,-25.3875,-27.300001
1679997306424,1177294779175994,6.1125,-24.7875,-27.712502
1679997306433,1177294789193643,6.0,-24.187502,-28.2
1679997306444,1177294799188089,5.86875,-24.0,-28.612501
1679997306454,1177294809190377,5.8125,-23.8875,-29.081251
1679997306463,1177294819184920,5.8125,-23.8125,-29.156252
1679997306475,1177294829179040,5.8125,-23.7,-29.212502
1679997306484,1177294839181202,5.86875,-23.8875,-28.9125
1679997306494,1177294849183259,6.0,-24.0,-28.612501
1679997306504,1177294859193033,6.1875005,-24.300001,-28.0125
1679997306516,1177294869195182,6.4125004,-24.6,-27.4125
1679997306527,1177294879171715,6.4125004,-24.900002,-27.000002
1679997306534,1177294889166354,6.4125004,-25.2,-26.5125
1679997306544,1177294899160839,6.4125004,-25.3875,-26.343752
1679997306554,1177294909163825,6.4125004,-25.500002,-26.081251
1679997306564,1177294919191738,6.4875,-25.9125,-25.85625
1679997306573,1177294929201449,6.6000004,-26.2875,-25.612501
1679997306584,1177294939173175,6.4875,-26.5125,-25.9125
1679997306594,1177294949174506,6.4125004,-26.7,-26.212502
1679997306604,1177294959176885,6.4875,-26.812502,-26.400002
1679997306613,1177294969171053,6.6000004,-26.8875,-26.5125
1679997306625,1177294979203226,6.7125,-26.7,-26.75625
1679997306634,1177294989197929,6.8812504,-26.587502,-27.000002
1679997306644,1177294999161688,6.6562505,-26.2875,-27.300001
1679997306654,1177295009146158,6.4125004,-25.987501,-27.581251
1679997306664,1177295019119307,6.4125004,-25.800001,-27.35625
1679997306673,1177295029122903,6.4125004,-25.687502,-27.112501
1679997306684,1177295039155354,6.3562503,-25.500002,-27.056252
1679997306693,1177295049151661,6.3,-25.3875,-27.000002
1679997306704,1177295059175214,6.1875005,-25.312502,-26.812502
1679997306717,1177295069155896,6.1125,-25.2,-26.7
1679997306724,1177295079158122,6.1125,-25.143751,-26.7
1679997306734,1177295089176131,6.1125,-25.087502,-26.7
1679997306744,1177295099178212,6.4125004,-25.2,-26.643751
1679997306754,1177295109189063,6.7125,-25.3875,-26.5125
1679997306764,1177295119176077,6.7875004,-25.687502,-26.456251
1679997306775,1177295129178211,6.8812504,-25.987501,-26.400002
1679997306784,1177295139180591,6.8812504,-26.212502,-26.456251
1679997306794,1177295149194821,6.8812504,-26.400002,-26.5125
1679997306804,1177295159212296,7.3125005,-26.643751,-26.456251
1679997306815,1177295169222714,7.8,-26.8875,-26.400002
1679997306824,1177295179216944,7.36875,-26.812502,-26.643751
1679997306834,1177295189210530,7.0125003,-26.7,-26.812502
1679997306844,1177295199197184,7.0875,-26.7,-26.643751
1679997306854,1177295209191096,7.2000003,-26.7,-26.400002
1679997306864,1177295219193230,7.0125003,-26.812502,-26.343752
1679997306874,1177295229195258,6.8812504,-26.8875,-26.212502
1679997306885,1177295239204887,6.6562505,-27.000002,-26.04375
1679997306894,1177295249209893,6.3562503,-27.187502,-26.081251
1679997306904,1177295259213535,6.4875,-27.4125,-26.156252
1679997306916,1177295269208132,6.6562505,-27.300001,-26.081251
1679997306928,1177295279204103,6.6000004,-27.000002,-26.212502
1679997306935,1177295289196075,6.4875,-26.812502,-26.400002
1679997306944,1177295299196699,6.7125,-26.587502,-26.400002
1679997306953,1177295309198723,7.0125003,-26.2875,-26.456251
1679997306965,1177295319192459,7.0125003,-25.987501,-26.7
1679997306973,1177295329194232,7.0125003,-25.800001,-26.400002
1679997306984,1177295339188766,7.0125003,-25.687502,-26.081251
1679997306993,1177295349190890,7.3125005,-25.800001,-26.04375
1679997307004,1177295359199972,7.6125,-25.987501,-25.9125
1679997307015,1177295369194485,7.6125,-26.2875,-25.9125
1679997307024,1177295379196687,7.6125,-26.587502,-25.9125
1679997307035,1177295389191244,7.6875005,-26.643751,-25.9125
1679997307044,1177295399185724,7.8,-26.7,-25.9125
1679997307054,1177295409180276,7.55625,-26.643751,-26.156252
1679997307065,1177295419174679,7.3125005,-26.587502,-26.400002
1679997307076,1177295429176736,7.0125003,-26.643751,-26.400002
1679997307084,1177295439171259,6.7125,-26.7,-26.400002
1679997307093,1177295449181019,6.6562505,-26.343752,-26.643751
1679997307104,1177295459183244,6.6000004,-25.987501,-26.812502
1679997307115,1177295469159317,6.3562503,-25.743752,-26.7
1679997307124,1177295479169172,6.1125,-25.500002,-26.5125
1679997307134,1177295489163671,6.3,-24.843752,-27.000002
1679997307144,1177295499165767,6.4125004,-24.187502,-27.4125
1679997307154,1177295509172912,6.3562503,-23.7,-27.712502
1679997307163,1177295519167310,6.3,-23.2875,-28.0125
1679997307173,1177295529169434,6.4125004,-23.2875,-27.712502
1679997307184,1177295539171554,6.6000004,-23.2875,-27.4125
1679997307194,1177295549158568,6.4125004,-23.34375,-27.712502
1679997307204,1177295559160751,6.3,-23.400002,-28.0125
1679997307213,1177295569162905,6.3,-23.8875,-27.656252
1679997307226,1177295579157385,6.3,-24.300001,-27.300001
1679997307234,1177295589165058,6.1875005,-24.300001,-27.35625
1679997307246,1177295599167284,6.1125,-24.300001,-27.4125
1679997307253,1177295609169427,5.7562504,-23.8875,-27.843752
1679997307265,1177295619144153,5.4,-23.400002,-28.2
1679997307274,1177295629169278,5.45625,-23.400002,-28.143751
1679997307285,1177295639176917,5.5125003,-23.400002,-28.0125
1679997307294,1177295649171412,5.2875004,-23.34375,-27.956251
1679997307304,1177295659194810,5.1000004,-23.2875,-27.900002
1679997307314,1177295669196934,5.4,-23.5125,-27.656252
1679997307324,1177295679185871,5.7000003,-23.7,-27.4125
1679997307334,1177295689187986,6.0,-23.925001,-27.4125
1679997307344,1177295699196269,6.3,-24.187502,-27.4125
1679997307354,1177295709190749,6.4125004,-24.187502,-27.35625
1679997307364,1177295719192979,6.6000004,-24.187502,-27.300001
1679997307376,1177295729187512,6.8812504,-24.243752,-27.35625
1679997307384,1177295739181992,7.2000003,-24.300001,-27.4125
1679997307393,1177295749184208,6.7875004,-24.4125,-27.54375
1679997307404,1177295759178659,6.4125004,-24.487501,-27.581251
1679997307415,1177295769179193,6.6562505,-25.087502,-27.056252
1679997307424,1177295779181351,6.8812504,-25.687502,-26.5125
1679997307433,1177295789184946,6.7125,-25.800001,-26.456251
1679997307444,1177295799194806,6.6000004,-25.987501,-26.400002
1679997307454,1177295809192330,6.6562505,-26.04375,-26.212502
1679997307464,1177295819194570,6.7125,-26.081251,-26.081251
1679997307476,1177295829187593,7.0875,-26.2875,-26.04375
1679997307485,1177295839157565,7.5000005,-26.400002,-25.9125
1679997307495,1177295849166243,7.3125005,-26.400002,-26.156252
1679997307504,1177295859160858,7.2000003,-26.400002,-26.400002
1679997307515,1177295869163627,7.0875,-26.04375,-26.456251
1679997307527,1177295879190223,7.0125003,-25.687502,-26.5125
1679997307534,1177295889174564,7.2000003,-25.800001,-26.643751
