system_ts_ms, sensor_ts_ns, magXr, magYr, magZr, magDXr, magDYr, magDZr
1679997304213,1177292569185559,-21.35625,-79.36875,-257.75626,-28.14,-55.19,-229.92
1679997304231,1177292579159578,-20.94375,-79.18125,-257.64377,-28.14,-55.19,-229.92
1679997304234,1177292589135783,-21.243752,-78.58125,-257.75626,-28.14,-55.19,-229.92
1679997304244,1177292599130268,-21.54375,-77.981255,-257.8125,-28.14,-55.19,-229.92
1679997304253,1177292609124733,-21.54375,-77.981255,-258.05627,-28.14,-55.19,-229.92
1679997304265,1177292619154963,-21.54375,-77.981255,-258.24377,-28.14,-55.19,-229.92
1679997304279,1177292629181525,-21.712502,-77.925,-258.1875,-28.14,-55.19,-229.92
1679997304284,1177292639191299,-21.84375,-77.86875,-258.11252,-28.14,-55.19,-229.92
1679997304294,1177292649193471,-22.275002,-78.1125,-258.11252,-28.14,-55.19,-229.92
1679997304304,1177292659195605,-22.612501,-78.28125,-258.11252,-28.14,-55.19,-229.92
1679997304314,1177292669197748,-22.556252,-78.693756,-258.35626,-28.14,-55.19,-229.92
1679997304327,1177292679199821,-22.44375,-79.068756,-258.54376,-28.14,-55.19,-229.92
1679997304335,1177292689194320,-22.3875,-79.18125,-258.35626,-28.14,-55.19,-229.92
1679997304344,1177292699188877,-22.3125,-79.36875,-258.11252,-28.14,-55.19,-229.92
1679997304354,1177292709183357,-22.0125,-79.36875,-258.24377,-28.14,-55.19,-229.92
1679997304364,1177292719177890,-21.712502,-79.36875,-258.4125,-28.14,-55.19,-229.92
1679997304378,1177292729180404,-21.487501,-79.425,-258.35626,-28.14,-55.19,-229.92
1679997304384,1177292739182485,-21.243752,-79.481255,-258.24377,-28.14,-55.19,-229.92
1679997304394,1177292749184639,-21.112501,-79.481255,-258.11252,-28.14,-55.19,-229.92
1679997304404,1177292759179946,-20.94375,-79.481255,-257.92502,-28.14,-55.19,-229.92
1679997304415,1177292769183148,-21.056252,-79.6125,-257.75626,-28.14,-55.19,-229.92
1679997304427,1177292779185302,-21.112501,-79.668755,-257.5125,-28.14,-55.19,-229.92
1679997304434,1177292789187421,-21.243752,-79.912506,-257.64377,-28.14,-55.19,-229.92
1679997304446,1177292799197209,-21.4125,-80.08125,-257.8125,-28.14,-55.19,-229.92
1679997304454,1177292809168930,-21.35625,-79.78125,-257.8875,-28.14,-55.19,-229.92
1679997304464,1177292819171309,-21.243752,-79.481255,-257.92502,-28.14,-55.19,-229.92
1679997304476,1177292829165784,-21.4125,-79.3125,-258.05627,-28.14,-55.19,-229.92
1679997304488,1177292839167086,-21.54375,-79.068756,-258.11252,-28.14,-55.19,-229.92
1679997304496,1177292849176143,-21.4125,-78.525,-258.71252,-28.14,-55.19,-229.92
1679997304504,1177292859178048,-21.243752,-77.981255,-259.3125,-28.14,-55.19,-229.92
1679997304514,1177292869187812,-21.54375,-77.512505,-259.3875,-28.14,-55.19,-229.92
1679997304527,1177292879174705,-21.84375,-76.96875,-259.42502,-28.14,-55.19,-229.92
1679997304534,1177292889199238,-22.087502,-76.725006,-259.3875,-28.14,-55.19,-229.92
1679997304544,1177292899193805,-22.3125,-76.481255,-259.3125,-28.14,-55.19,-229.92
1679997304554,1177292909188352,-22.3875,-76.36875,-259.25626,-28.14,-55.19,-229.92
1679997304565,1177292919199212,-22.44375,-76.18125,-259.14377,-28.14,-55.19,-229.92
1679997304577,1177292929195299,-22.6875,-76.6125,-258.84375,-28.14,-55.19,-229.92
1679997304585,1177292939197375,-22.9125,-76.96875,-258.54376,-28.14,-55.19,-229.92
1679997304594,1177292949194678,-22.612501,-77.381256,-258.48752,-28.14,-55.19,-229.92
1679997304604,1177292959157317,-22.3125,-77.86875,-258.4125,-28.14,-55.19,-229.92
1679997304615,1177292969162019,-22.3125,-78.1125,-258.48752,-28.14,-55.19,-229.92
1679997304625,1177292979131932,-22.3125,-78.28125,-258.54376,-28.14,-55.19,-229.92
