system_ts_ms, sensor_ts_ns, rotX, rotY, rotZ, rotL
1679997304211,1177292565661786,0.385938,0.090764,0.727438,0.560042
1679997304213,1177292568163709,0.385935,0.090731,0.727441,0.560044
1679997304215,1177292570665786,0.385996,0.090903,0.727358,0.560083
1679997304217,1177292573167709,0.385992,0.090887,0.727353,0.560094
1679997304222,1177292575669863,0.385982,0.090851,0.727358,0.560101
1679997304231,1177292578171940,0.385969,0.090814,0.727362,0.560111
1679997304231,1177292580673838,0.386032,0.090447,0.726885,0.560746
1679997304232,1177292583175915,0.386018,0.090405,0.726887,0.560759
1679997304232,1177292585677838,0.386001,0.09036,0.726895,0.560768
1679997304234,1177292588179915,0.385903,0.090263,0.726943,0.560788
1679997304236,1177292590681838,0.38588,0.090212,0.726957,0.560794
1679997304237,1177292593184016,0.385866,0.090169,0.726968,0.560796
1679997304242,1177292595686093,0.385853,0.090125,0.726978,0.5608
1679997304243,1177292598188016,0.38584,0.090077,0.726986,0.560806
1679997304245,1177292600690170,0.385978,0.089393,0.726067,0.562009
1679997304247,1177292603192001,0.385972,0.089342,0.726066,0.562024
1679997304251,1177292605694078,0.386034,0.089102,0.726119,0.561951
1679997304253,1177292608196001,0.386034,0.08904,0.726129,0.561947
1679997304255,1177292610698386,0.386024,0.088999,0.726138,0.561949
1679997304262,1177292613200232,0.38601,0.088966,0.726145,0.561954
1679997304263,1177292615702155,0.385998,0.088937,0.72615,0.561962
1679997304265,1177292618204309,0.385983,0.08891,0.726154,0.561971
1679997304267,1177292620706386,0.386126,0.088193,0.725151,0.563279
1679997304269,1177292623208232,0.386151,0.088066,0.725168,0.56326
1679997304270,1177292625710391,0.386134,0.088039,0.725171,0.563272
1679997304279,1177292628212544,0.38611,0.08803,0.725176,0.563283
1679997304280,1177292630714467,0.386081,0.088026,0.725184,0.563293
1679997304280,1177292633216314,0.386054,0.088025,0.725193,0.563301
1679997304282,1177292635718453,0.386027,0.088026,0.725202,0.563307
1679997304283,1177292638220530,0.386002,0.088028,0.725212,0.563311
1679997304286,1177292640722377,0.385892,0.087392,0.724304,0.564652
1679997304288,1177292643224607,0.385838,0.087394,0.724316,0.564674
1679997304293,1177292645726703,0.385803,0.087401,0.72433,0.564679
1679997304293,1177292648228626,0.385771,0.087406,0.724342,0.564683
1679997304298,1177292650730473,0.385736,0.08741,0.724358,0.564687
1679997304299,1177292653232626,0.385702,0.087416,0.724373,0.56469
1679997304301,1177292655734703,0.385672,0.087416,0.724389,0.56469
