system_ts_ms, sensor_ts_ns, graX, graY, graZ
1679994865702,1174854056192650,0.698,3.9,8.97
1679994865703,1174854058694727,0.699,3.9,8.97
1679994865706,1174854061196592,0.711,3.904,8.967
1679994865709,1174854063698515,0.713,3.905,8.967
1679994865711,1174854066200669,0.713,3.906,8.966
1679994865713,1174854068702746,0.713,3.906,8.966
1679994865722,1174854071204592,0.712,3.907,8.966
1679994865723,1174854073706515,0.71,3.907,8.966
1679994865723,1174854076208592,0.709,3.907,8.966
1679994865724,1174854078710539,0.712,3.907,8.966
1679994865726,1174854081212616,0.71,3.907,8.966
1679994865728,1174854083714539,0.708,3.907,8.966
1679994865731,1174854086216616,0.706,3.907,8.966
1679994865734,1174854088718462,0.703,3.907,8.966
1679994865736,1174854091220390,0.701,3.907,8.967
1679994865739,1174854093722467,0.699,3.907,8.967
1679994865741,1174854096224313,0.686,3.908,8.967
1679994865743,1174854098726467,0.684,3.908,8.968
1679994865750,1174854101228428,0.682,3.908,8.968
1679994865750,1174854103730275,0.681,3.908,8.968
1679994865751,1174854106232351,0.681,3.908,8.968
1679994865753,1174854108734275,0.681,3.908,8.968
1679994865757,1174854111236121,0.681,3.908,8.968
1679994865758,1174854113738198,0.669,3.912,8.967
1679994865760,1174854116240352,0.668,3.913,8.967
1679994865763,1174854118742198,0.669,3.913,8.967
1679994865766,1174854121244121,0.669,3.913,8.967
1679994865768,1174854123746189,0.67,3.913,8.967
1679994865771,1174854126248112,0.672,3.913,8.966
1679994865774,1174854128749958,0.673,3.913,8.966
1679994865777,1174854131252035,0.675,3.913,8.966
1679994865779,1174854133754189,0.676,3.914,8.966
1679994865785,1174854136256112,0.677,3.913,8.966
1679994865785,1174854138757958,0.678,3.913,8.966
1679994865788,1174854141260035,0.678,3.913,8.966
1679994865790,1174854143761953,0.679,3.913,8.966
1679994865791,1174854146263799,0.68,3.913,8.966
1679994865794,1174854148765876,0.682,3.919,8.963
1679994865796,1174854151268030,0.683,3.919,8.963
1679994865802,1174854153769953,0.683,3.919,8.963
1679994865802,1174854156271794,0.683,3.919,8.963
1679994865804,1174854158773640,0.683,3.919,8.963
1679994865807,1174854161275794,0.683,3.919,8.963
1679994865808,1174854163777871,0.683,3.919,8.963
1679994865811,1174854166279813,0.679,3.924,8.961
1679994865813,1174854168781659,0.679,3.924,8.961
1679994865818,1174854171283736,0.679,3.924,8.961
1679994865819,1174854173785659,0.679,3.924,8.961
1679994865824,1174854176287530,0.679,3.923,8.961
1679994865825,1174854178789683,0.679,3.923,8.961
1679994865828,1174854181291530,0.679,3.923,8.961
1679994865829,1174854183793606,0.678,3.926,8.96
1679994865835,1174854186295530,0.678,3.926,8.96
1679994865835,1174854188797606,0.678,3.926,8.96
1679994865836,1174854191299453,0.678,3.926,8.96
1679994865839,1174854193801376,0.678,3.925,8.961
1679994865841,1174854196303530,0.678,3.925,8.961
1679994865844,1174854198805592,0.678,3.924,8.961
1679994865846,1174854201307439,0.678,3.927,8.96
1679994865851,1174854203809362,0.677,3.927,8.96
1679994865852,1174854206311439,0.677,3.927,8.96
1679994865853,1174854208813362,0.677,3.926,8.96
1679994865857,1174854211315208,0.677,3.926,8.96
1679994865861,1174854213817362,0.676,3.925,8.961
1679994865863,1174854216319208,0.676,3.925,8.961
1679994865869,1174854218821266,0.673,3.926,8.96
1679994865870,1174854221323189,0.673,3.926,8.961
1679994865871,1174854223825035,0.672,3.925,8.961
1679994865872,1174854226327112,0.672,3.925,8.961
1679994865873,1174854228829035,0.671,3.925,8.961
1679994865876,1174854231331097,0.671,3.924,8.961
1679994865879,1174854233833020,0.671,3.924,8.962
1679994865881,1174854236335097,0.67,3.925,8.961
1679994865886,1174854238836943,0.669,3.925,8.961
1679994865887,1174854241338890,0.669,3.925,8.961
1679994865889,1174854243840967,0.669,3.924,8.962
1679994865891,1174854246343121,0.668,3.924,8.962
1679994865894,1174854248844967,0.668,3.924,8.962
1679994865898,1174854251346876,0.668,3.923,8.962
1679994865903,1174854253848953,0.664,3.923,8.963
1679994865904,1174854256350876,0.664,3.923,8.963
1679994865904,1174854258852722,0.663,3.922,8.963
1679994865907,1174854261354799,0.663,3.922,8.963
1679994865909,1174854263856934,0.663,3.922,8.963
1679994865911,1174854266358780,0.663,3.922,8.963
1679994865914,1174854268860704,0.663,3.921,8.963
1679994865919,1174854271362780,0.663,3.92,8.964
1679994865920,1174854273864713,0.663,3.92,8.964
1679994865922,1174854276366559,0.663,3.919,8.964
1679994865924,1174854278868636,0.663,3.919,8.964
1679994865927,1174854281370559,0.663,3.919,8.964
1679994865928,1174854283872660,0.663,3.919,8.964
1679994865931,1174854286374583,0.663,3.918,8.965
1679994865936,1174854288876429,0.661,3.918,8.965
1679994865938,1174854291378506,0.661,3.918,8.965
1679994865941,1174854293880410,0.661,3.918,8.965
1679994865942,1174854296382256,0.662,3.918,8.965
1679994865944,1174854298884410,0.662,3.918,8.965
1679994865947,1174854301386487,0.662,3.918,8.965
1679994865952,1174854303888410,0.663,3.917,8.965
1679994865952,1174854306390270,0.665,3.915,8.966
1679994865954,1174854308892347,0.665,3.915,8.966
1679994865957,1174854311394270,0.666,3.914,8.966
1679994865959,1174854313896116,0.667,3.914,8.966
1679994865961,1174854316398270,0.667,3.914,8.966
1679994865964,1174854318900347,0.668,3.914,8.966
1679994865971,1174854321402270,0.668,3.914,8.966
1679994865972,1174854323904116,0.671,3.916,8.965
1679994865974,1174854326406193,0.672,3.916,8.965
1679994865975,1174854328908116,0.672,3.916,8.965
1679994865978,1174854331410193,0.673,3.916,8.965
1679994865980,1174854333912039,0.673,3.916,8.965
1679994865985,1174854336413962,0.674,3.916,8.965
1679994865986,1174854338916015,0.674,3.916,8.965
1679994865987,1174854341417938,0.678,3.916,8.965
1679994865989,1174854343920015,0.678,3.916,8.965
1679994865993,1174854346421938,0.679,3.916,8.965
1679994865994,1174854348923991,0.679,3.916,8.965
1679994865997,1174854351425914,0.679,3.916,8.965
1679994866002,1174854353927761,0.679,3.916,8.964
1679994866003,1174854356429838,0.679,3.916,8.964
1679994866004,1174854358931689,0.679,3.915,8.965
1679994866007,1174854361433843,0.679,3.915,8.965
1679994866012,1174854363935766,0.679,3.915,8.965
1679994866013,1174854366437843,0.679,3.915,8.965
1679994866014,1174854368939723,0.679,3.915,8.965
1679994866018,1174854371441646,0.679,3.915,8.965
1679994866020,1174854373943492,0.679,3.915,8.965
1679994866022,1174854376445569,0.677,3.913,8.966
1679994866029,1174854378947718,0.677,3.913,8.966
1679994866029,1174854381449641,0.677,3.913,8.966
1679994866031,1174854383951487,0.677,3.913,8.966
1679994866032,1174854386453564,0.677,3.913,8.966
1679994866036,1174854388955491,0.677,3.914,8.966
1679994866037,1174854391457337,0.677,3.914,8.966
1679994866039,1174854393959414,0.677,3.91,8.967
1679994866041,1174854396461568,0.678,3.91,8.967
1679994866044,1174854398963491,0.678,3.91,8.967
1679994866052,1174854401465337,0.678,3.91,8.967
1679994866052,1174854403967414,0.678,3.91,8.967
1679994866053,1174854406469337,0.678,3.911,8.967
1679994866054,1174854408971183,0.678,3.911,8.967
1679994866057,1174854411473313,0.677,3.909,8.968
1679994866060,1174854413975390,0.677,3.909,8.968
1679994866061,1174854416477313,0.677,3.909,8.968
1679994866064,1174854418979154,0.677,3.909,8.968
1679994866069,1174854421481231,0.677,3.909,8.967
1679994866069,1174854423983154,0.677,3.91,8.967
1679994866071,1174854426485001,0.677,3.91,8.967
1679994866074,1174854428987145,0.677,3.913,8.966
1679994866077,1174854431488992,0.677,3.914,8.965
1679994866079,1174854433991069,0.677,3.914,8.965
1679994866085,1174854436492992,0.677,3.915,8.965
1679994866086,1174854438994828,0.677,3.915,8.965
1679994866088,1174854441496905,0.677,3.915,8.965
1679994866090,1174854443998828,0.678,3.916,8.965
1679994866092,1174854446500982,0.677,3.916,8.965
1679994866094,1174854449002828,0.677,3.917,8.964
1679994866096,1174854451504886,0.678,3.917,8.964
1679994866100,1174854454006809,0.678,3.917,8.964
1679994866101,1174854456508886,0.678,3.918,8.964
1679994866104,1174854459010732,0.679,3.918,8.964
1679994866108,1174854461512669,0.679,3.918,8.963
1679994866109,1174854464014823,0.676,3.92,8.963
1679994866112,1174854466516669,0.677,3.92,8.963
1679994866114,1174854469018746,0.677,3.92,8.963
1679994866117,1174854471520684,0.677,3.921,8.962
1679994866120,1174854474022530,0.678,3.921,8.962
1679994866124,1174854476524607,0.678,3.922,8.962
1679994866125,1174854479026530,0.678,3.922,8.962
1679994866128,1174854481528607,0.679,3.919,8.963
1679994866131,1174854484030530,0.679,3.919,8.963
1679994866132,1174854486532607,0.679,3.919,8.963
