system_ts_ms, sensor_ts_ns, accXr, accYr, accZr, accDXr, accDYr, accDZr
1679992136111,1172124462468954,0.87795,1.3950001,10.377001,0.0,0.0,0.0
1679992136111,1172124464970723,0.90405005,1.4980501,10.449,0.0,0.0,0.0
1679992136112,1172124467472248,0.95295006,1.536,10.59,0.0,0.0,0.0
1679992136114,1172124469973863,1.04205,1.5190501,10.684051,0.0,0.0,0.0
1679992136118,1172124472475632,1.2,1.6009501,10.653001,0.0,0.0,0.0
1679992136127,1172124474977248,1.34595,1.6200001,10.59,0.0,0.0,0.0
1679992136128,1172124477478785,1.4299501,1.58895,10.66005,0.0,0.0,0.0
1679992136128,1172124479980554,1.6500001,1.5840001,10.618951,0.0,0.0,0.0
1679992136128,1172124482482400,1.9279501,1.4860501,10.650001,0.0,0.0,0.0
1679992136129,1172124484984016,1.9230001,1.404,10.61205,0.0,0.0,0.0
1679992136132,1172124487485559,2.08605,1.4760001,10.582951,0.0,0.0,0.0
1679992136134,1172124489987329,2.256,1.3780501,10.830001,0.0,0.0,0.0
1679992136137,1172124492488944,2.3070002,1.3660501,11.11995,0.0,0.0,0.0
1679992136141,1172124494990713,2.39505,1.35195,11.223001,0.0,0.0,0.0
1679992136143,1172124497492267,2.5510502,1.368,11.611051,0.0,0.0,0.0
1679992136145,1172124499994113,2.592,1.38495,11.742001,0.0,0.0,0.0
1679992136147,1172124502495728,2.63505,1.3969501,11.869051,0.0,0.0,0.0
1679992136149,1172124504997267,2.6850002,1.43805,12.04905,0.0,0.0,0.0
1679992136153,1172124507499036,2.6850002,1.4569501,12.066001,0.0,0.0,0.0
1679992136156,1172124510000636,2.6830502,1.4280001,12.082951,0.0,0.0,0.0
1679992136157,1172124512502405,2.52495,1.4119501,11.866951,0.0,0.0,0.0
1679992136159,1172124515004021,2.48895,1.3420501,11.74995,0.0,0.0,0.0
1679992136163,1172124517505790,2.39805,1.419,11.57205,0.0,0.0,0.0
1679992136164,1172124520007445,2.4,1.3090501,11.316001,0.0,0.0,0.0
1679992136167,1172124522509214,2.4790502,1.31595,11.139001,0.0,0.0,0.0
