system_ts_ms, sensor_ts_ns, gyrX, gyrY, gyrZ
1679932923519,1112911872597650,-0.0284625,-0.0033,-0.0248875
1679932923521,1112911875099808,-0.0284625,-4.125E-4,-0.02695
1679932923522,1112911877601961,-0.030524999,-0.0053625,-0.029975
1679932923524,1112911880104346,-0.0314875,-0.006325,-0.0339625
1679932923527,1112911882606500,-0.0364375,-0.0053625,-0.0358875
1679932923530,1112911885108654,-0.0385,-0.0033,-0.0389125
1679932923539,1112911887610808,-0.041525,-0.006325,-0.039875
1679932923539,1112911890112962,-0.0424875,-0.006325,-0.039875
1679932923539,1112911892615115,-0.046475,-0.0053625,-0.040975
1679932923539,1112911895117577,-0.046475,-0.006325,-0.040975
1679932923541,1112911897619731,-0.0474375,-0.0072875,-0.0389125
1679932923544,1112911900121654,-0.0495,-0.006325,-0.039875
1679932923547,1112911902624038,-0.04455,-0.0053625,-0.039875
1679932923550,1112911905126192,-0.04455,-0.0033,-0.03795
1679932923553,1112911907628346,-0.0455125,-0.0053625,-0.034925
1679932923554,1112911910130500,-0.04455,-0.006325,-0.033
1679932923558,1112911912632731,-0.046475,-0.0053625,-0.029975
1679932923559,1112911915134885,-0.0495,-0.006325,-0.028875
1679932923561,1112911917637039,-0.0485375,-0.0072875,-0.029975
1679932923564,1112911920139212,-0.052525,-0.00935,-0.0279125
1679932923568,1112911922641366,-0.0495,-0.0053625,-0.02695
1679932923570,1112911925143520,-0.0504625,-0.0083875,-0.023924999
1679932923573,1112911927645905,-0.0495,-0.0083875,-0.023924999
1679932923575,1112911930148059,-0.0485375,-0.0103124995,-0.02695
1679932923579,1112911932650289,-0.0534875,-0.0114124995,-0.023924999
1679932923580,1112911935152443,-0.054449998,-0.0114124995,-0.022
1679932923585,1112911937654520,-0.0534875,-0.0083875,-0.0209
1679932923585,1112911940156751,-0.0534875,-0.0072875,-0.0199375
1679932923588,1112911942659148,-0.0565125,-0.0083875,-0.0209
1679932923591,1112911945161302,-0.0565125,-0.0033,-0.018975
1679932923592,1112911947663456,-0.057475,6.875E-4,-0.01595
1679932923595,1112911950165610,-0.05555,0.00165,-0.0149875
1679932923598,1112911952667750,-0.05555,0.0026125,-0.012925
1679932923602,1112911955169904,-0.054449998,0.0077,-0.0149875
1679932923602,1112911957672058,-0.05555,0.01265,-0.0149875
1679932923604,1112911960174288,-0.057475,0.0166375,-0.012925
1679932923608,1112911962676451,-0.0565125,0.0176,-0.01595
1679932923610,1112911965178836,-0.0565125,0.0246125,-0.012925
1679932923612,1112911967680759,-0.054449998,0.0286,-0.012925
1679932923614,1112911970183144,-0.054449998,0.0246125,-0.0119624995
1679932923619,1112911972685273,-0.0534875,0.0276375,-0.0099
1679932923619,1112911975187427,-0.0534875,0.026675,-0.0089375
1679932923622,1112911977689658,-0.0534875,0.0297,-0.0099
1679932923625,1112911980191812,-0.052525,0.0297,-0.0089375
1679932923629,1112911982693947,-0.0474375,0.026675,-0.006875
1679932923631,1112911985196101,-0.043449998,0.0226875,-0.006875
1679932923635,1112911987698254,-0.04455,0.020624999,-0.0059125
1679932923635,1112911990200408,-0.0455125,0.0196625,-0.0028875
1679932923638,1112911992702793,-0.0455125,0.0187,-0.0028875
1679932923640,1112911995204932,-0.0455125,0.0196625,-9.625E-4
1679932923642,1112911997707086,-0.0455125,0.020624999,0.0020625
1679932923645,1112912000209239,-0.0424875,0.0215875,0.0011
1679932923648,1112912002711470,-0.040425,0.02365,0.0011
1679932923653,1112912005213547,-0.040425,0.0215875,0.004125
1679932923653,1112912007716009,-0.035475,0.0215875,0.0050875
1679932923655,1112912010218163,-0.0375375,0.020624999,0.0081124995
1679932923658,1112912012720316,-0.032449998,0.02365,0.0100375
1679932923660,1112912015222461,-0.035475,0.02365,0.0100375
1679932923662,1112912017724615,-0.032449998,0.0226875,0.0070125
1679932923671,1112912020226769,-0.03355,0.020624999,0.0081124995
1679932923672,1112912022728923,-0.030524999,0.031625,0.0070125
1679932923672,1112912025231144,-0.0314875,0.0286,0.0070125
1679932923673,1112912027733297,-0.032449998,0.0286,0.0050875
