system_ts_ms, sensor_ts_ns, rotX, rotY, rotZ, rotL
1679931077293,1111065646676924,0.402045,-0.113573,-0.452005,0.788131
1679931077294,1111065649179001,0.402024,-0.113436,-0.451996,0.788167
1679931077298,1111065651681169,0.402006,-0.113299,-0.451985,0.788202
1679931077300,1111065654183093,0.401993,-0.11316,-0.451974,0.788235
1679931077302,1111065656685246,0.401614,-0.113341,-0.451855,0.78847
1679931077304,1111065659187400,0.40157,-0.113231,-0.451826,0.788525
1679931077314,1111065661689554,0.401571,-0.113087,-0.451811,0.788554
1679931077315,1111065664191713,0.401575,-0.112935,-0.451794,0.788583
1679931077315,1111065666693867,0.40158,-0.112779,-0.451772,0.788616
1679931077315,1111065669196021,0.40159,-0.112622,-0.451748,0.788647
1679931077317,1111065671698174,0.401602,-0.112467,-0.451727,0.788675
1679931077319,1111065674200332,0.401625,-0.112576,-0.451584,0.788729
1679931077324,1111065676702409,0.401641,-0.112446,-0.451549,0.78876
1679931077325,1111065679204563,0.401652,-0.112294,-0.451526,0.788789
1679931077327,1111065681706794,0.401661,-0.112144,-0.451512,0.788814
1679931077329,1111065684208886,0.401667,-0.111998,-0.451502,0.788837
1679931077333,1111065686711040,0.401668,-0.111861,-0.451499,0.788858
1679931077336,1111065689213194,0.401665,-0.111725,-0.451502,0.788877
1679931077339,1111065691715347,0.401589,-0.110996,-0.451788,0.788855
1679931077340,1111065694217289,0.40156,-0.110818,-0.451833,0.788869
1679931077344,1111065696719674,0.40153,-0.110708,-0.451864,0.788882
1679931077345,1111065699221828,0.401489,-0.110614,-0.451907,0.788892
1679931077346,1111065701723751,0.401438,-0.110533,-0.451959,0.788899
1679931077349,1111065704225905,0.401376,-0.110463,-0.452024,0.788903
1679931077353,1111065706728054,0.401302,-0.110405,-0.4521,0.788906
1679931077354,1111065709230208,0.401217,-0.11036,-0.45219,0.788903
1679931077357,1111065711732284,0.401124,-0.110329,-0.452293,0.788896
1679931077360,1111065714234515,0.401017,-0.110313,-0.452409,0.788886
1679931077362,1111065716736660,0.4009,-0.110314,-0.452536,0.788872
1679931077365,1111065719238737,0.400763,-0.110334,-0.452678,0.788858
1679931077367,1111065721740891,0.400611,-0.11038,-0.452831,0.788841
1679931077369,1111065724243045,0.400441,-0.110451,-0.453,0.78882
1679931077378,1111065726744967,0.400253,-0.110548,-0.453183,0.788797
1679931077379,1111065729246159,0.400044,-0.110669,-0.453383,0.788771
1679931077379,1111065731747352,0.399816,-0.110812,-0.453595,0.788744
1679931077380,1111065734251428,0.399566,-0.110985,-0.453825,0.788715
1679931077382,1111065736753582,0.399296,-0.111188,-0.454069,0.788682
1679931077385,1111065739255736,0.399003,-0.11142,-0.45433,0.788647
1679931077387,1111065741757813,0.398698,-0.111673,-0.454598,0.788611
1679931077390,1111065744259967,0.39837,-0.111951,-0.454882,0.788574
1679931077395,1111065746762198,0.398028,-0.112251,-0.455181,0.788532
1679931077395,1111065749264343,0.397665,-0.112578,-0.455494,0.788487
1679931077397,1111065751766419,0.397297,-0.11292,-0.455812,0.78844
1679931077402,1111065754268573,0.396918,-0.113284,-0.456141,0.788389
1679931077403,1111065756770727,0.396525,-0.113664,-0.456479,0.788336
1679931077404,1111065759272664,0.396117,-0.114062,-0.456829,0.788281
1679931077407,1111065761775049,0.39511,-0.113017,-0.457885,0.788324
1679931077411,1111065764277203,0.394625,-0.113297,-0.458323,0.788272
1679931077415,1111065766779352,0.394179,-0.113722,-0.458711,0.788209
1679931077419,1111065769281275,0.393738,-0.114165,-0.459094,0.788142
1679931077420,1111065771783428,0.393291,-0.114625,-0.459487,0.788069
1679931077421,1111065774285582,0.392838,-0.11509,-0.459886,0.787995
1679931077422,1111065776787736,0.39238,-0.115558,-0.460289,0.787919
1679931077427,1111065779289890,0.391583,-0.115416,-0.461013,0.787914
1679931077427,1111065781792044,0.391092,-0.115839,-0.461456,0.787836
1679931077429,1111065784294198,0.390627,-0.116325,-0.461876,0.787749
1679931077432,1111065786796352,0.390162,-0.11682,-0.462299,0.787658
1679931077435,1111065789298410,0.389691,-0.117326,-0.462726,0.787565
1679931077437,1111065791800563,0.389233,-0.117829,-0.463149,0.787467
1679931077439,1111065794302717,0.388771,-0.118341,-0.463577,0.787367
1679931077443,1111065796804871,0.388168,-0.118536,-0.464157,0.787294
1679931077444,1111065799307025,0.387692,-0.119023,-0.464604,0.787192
1679931077449,1111065801809160,0.387242,-0.119539,-0.465026,0.787085
1679931077450,1111065804311083,0.386796,-0.120064,-0.465447,0.786976
1679931077453,1111065806813467,0.386353,-0.120589,-0.465868,0.786863
1679931077455,1111065809315391,0.385912,-0.121123,-0.46629,0.786748
1679931077461,1111065811817544,0.385486,-0.121642,-0.466699,0.786635
1679931077461,1111065814319703,0.385067,-0.122159,-0.467106,0.786519
1679931077462,1111065816821857,0.384657,-0.122666,-0.467501,0.786405
1679931077464,1111065819323934,0.384253,-0.123169,-0.467894,0.786291
1679931077467,1111065821826088,0.383868,-0.123652,-0.468268,0.78618
1679931077470,1111065824328294,0.383492,-0.124126,-0.468632,0.786072
1679931077472,1111065826830371,0.383127,-0.124584,-0.468986,0.785966
1679931077478,1111065829332524,0.382772,-0.125025,-0.469329,0.785865
1679931077478,1111065831834678,0.382435,-0.125434,-0.469651,0.785771
1679931077479,1111065834336818,0.38211,-0.125824,-0.469962,0.785681
1679931077485,1111065836838741,0.381799,-0.126185,-0.470258,0.785597
1679931077487,1111065839341126,0.381499,-0.126524,-0.470541,0.785519
1679931077488,1111065841843280,0.381215,-0.126827,-0.470809,0.785447
1679931077490,1111065844345178,0.38094,-0.127099,-0.471067,0.785382
1679931077494,1111065846847332,0.380678,-0.12734,-0.471313,0.785322
1679931077495,1111065849349409,0.380431,-0.127553,-0.471547,0.785267
1679931077497,1111065851851562,0.380203,-0.127735,-0.471765,0.785217
1679931077500,1111065854353678,0.379988,-0.127886,-0.471971,0.785173
1679931077502,1111065856855909,0.379789,-0.127999,-0.472165,0.785134
1679931077504,1111065859357986,0.379611,-0.128078,-0.472344,0.785099
1679931077507,1111065861860140,0.37945,-0.128132,-0.472508,0.78507
1679931077511,1111065864362294,0.379304,-0.128155,-0.472661,0.785044
1679931077512,1111065866864217,0.379178,-0.128149,-0.4728,0.785023
1679931077514,1111065869366371,0.379065,-0.12812,-0.472928,0.785005
1679931077517,1111065871868524,0.378968,-0.128065,-0.473041,0.784992
1679931077519,1111065874370678,0.37889,-0.127985,-0.473142,0.784982
1679931077524,1111065876872831,0.378827,-0.127888,-0.473232,0.784974
1679931077528,1111065879374985,0.378779,-0.127773,-0.473309,0.78497
1679931077529,1111065881877139,0.378747,-0.127645,-0.473373,0.784968
1679931077530,1111065884379216,0.378726,-0.127501,-0.473426,0.784969
1679931077533,1111065886881356,0.378716,-0.127343,-0.473471,0.784972
1679931077535,1111065889383586,0.378717,-0.127175,-0.473504,0.784979
1679931077537,1111065891885740,0.378729,-0.127011,-0.473526,0.784986
1679931077539,1111065894387817,0.378749,-0.126845,-0.47354,0.784996
1679931077543,1111065896889971,0.378775,-0.126683,-0.473546,0.785006
1679931077545,1111065899392115,0.378811,-0.12652,-0.473546,0.785015
1679931077547,1111065901894269,0.379471,-0.12616,-0.473567,0.784741
1679931077549,1111065904396192,0.379579,-0.125987,-0.473557,0.784722
1679931077553,1111065906898577,0.379634,-0.12584,-0.473544,0.784727
1679931077554,1111065909400730,0.379684,-0.125703,-0.473529,0.784734
1679931077557,1111065911902884,0.379734,-0.125584,-0.473514,0.784738
1679931077562,1111065914404807,0.379789,-0.125476,-0.473498,0.784738
1679931077564,1111065916906961,0.379842,-0.125377,-0.473483,0.784738
1679931077569,1111065919409135,0.380482,-0.124948,-0.47356,0.784449
1679931077570,1111065921911212,0.380592,-0.124851,-0.473557,0.784413
1679931077570,1111065924413443,0.380646,-0.124799,-0.47355,0.784399
1679931077577,1111065926915597,0.380692,-0.124766,-0.473546,0.784385
1679931077577,1111065929417658,0.38074,-0.124749,-0.473541,0.784367
1679931077578,1111065931919812,0.380789,-0.124747,-0.473537,0.784346
1679931077581,1111065934421966,0.380836,-0.124757,-0.473533,0.784324
1679931077583,1111065936923889,0.381269,-0.125034,-0.473382,0.784161
1679931077585,1111065939426274,0.381356,-0.125089,-0.473365,0.78412
1679931077587,1111065941928414,0.3814,-0.125118,-0.473363,0.784095
1679931077589,1111065944430568,0.381444,-0.125147,-0.473362,0.78407
1679931077594,1111065946932491,0.381485,-0.125179,-0.473363,0.784044
1679931077595,1111065949434645,0.381526,-0.125211,-0.47336,0.784021
1679931077599,1111065951936793,0.381561,-0.12524,-0.473358,0.784
1679931077600,1111065954438947,0.381633,-0.126058,-0.473017,0.78404
1679931077603,1111065956941101,0.381674,-0.126169,-0.472979,0.784025
1679931077605,1111065959443255,0.381708,-0.126193,-0.472978,0.784005
1679931077607,1111065961945332,0.381739,-0.126209,-0.472976,0.783989
1679931077611,1111065964447515,0.381772,-0.126217,-0.472974,0.783973
1679931077614,1111065966949669,0.381802,-0.126225,-0.472974,0.783957
1679931077616,1111065969451822,0.381828,-0.126233,-0.472976,0.783942
1679931077618,1111065971953976,0.381582,-0.126966,-0.472695,0.784113
1679931077619,1111065974456144,0.381573,-0.127042,-0.472672,0.784119
